$x$,$y$,L,Parameters,R,Simulation,V,h,t
-4.0,4.0,0.14,"R = 0.0325, L = 0.14",0.0325,0,32.4144287109375,-0.7892481088638306,0.0
-3.9800000190734863,4.0,0.14,"R = 0.0325, L = 0.14",0.0325,0,32.22581481933594,-0.7949268817901611,0.01
-3.9600653648376465,3.9983861446380615,0.14,"R = 0.0325, L = 0.14",0.0325,0,32.02771759033203,-0.7874577045440674,0.02
-3.9403257369995117,3.995168924331665,0.14,"R = 0.0325, L = 0.14",0.0325,0,31.82143211364746,-0.8008821606636047,0.03
-3.920910120010376,3.9903693199157715,0.14,"R = 0.0325, L = 0.14",0.0325,0,31.60830307006836,-0.8033042550086975,0.04
-3.901945114135742,3.984018564224243,0.14,"R = 0.0325, L = 0.14",0.0325,0,31.38973045349121,-0.8098424077033997,0.05
-3.883554458618164,3.9761581420898438,0.14,"R = 0.0325, L = 0.14",0.0325,0,31.167253494262695,-0.8200055360794067,0.06
-3.8658580780029297,3.96683931350708,0.14,"R = 0.0325, L = 0.14",0.0325,0,30.942211151123047,-0.8224546909332275,0.07
-3.8489716053009033,3.956122875213623,0.14,"R = 0.0325, L = 0.14",0.0325,0,30.71591567993164,-0.8413011431694031,0.08
-3.833004951477051,3.9440786838531494,0.14,"R = 0.0325, L = 0.14",0.0325,0,30.489994049072266,-0.8504513502120972,0.09
-3.8180623054504395,3.9307851791381836,0.14,"R = 0.0325, L = 0.14",0.0325,0,30.265010833740234,-0.8621788024902344,0.1
-3.8042409420013428,3.9163293838500977,0.14,"R = 0.0325, L = 0.14",0.0325,0,30.043813705444336,-0.8766124248504639,0.11
-3.790419578552246,3.9018735885620117,0.14,"R = 0.0325, L = 0.14",0.0325,0,29.823427200317383,-0.891045093536377,0.12
-3.7765982151031494,3.887417793273926,0.14,"R = 0.0325, L = 0.14",0.0325,0,29.603851318359375,-0.9054627418518066,0.13
-3.7627768516540527,3.87296199798584,0.14,"R = 0.0325, L = 0.14",0.0325,0,29.38509750366211,-0.9198804497718811,0.14
-3.748955488204956,3.858506202697754,0.14,"R = 0.0325, L = 0.14",0.0325,0,29.167150497436523,-0.9342983365058899,0.15
-3.7351341247558594,3.844050407409668,0.14,"R = 0.0325, L = 0.14",0.0325,0,28.95001983642578,-0.9487127661705017,0.16
-3.7213127613067627,3.829594612121582,0.14,"R = 0.0325, L = 0.14",0.0325,0,28.733699798583984,-0.9648724794387817,0.17
-3.707491397857666,3.815138816833496,0.14,"R = 0.0325, L = 0.14",0.0325,0,28.51819610595703,-0.9793441295623779,0.18
-3.6936700344085693,3.80068302154541,0.14,"R = 0.0325, L = 0.14",0.0325,0,28.303504943847656,-0.9938177466392517,0.19
-3.6798486709594727,3.786227226257324,0.14,"R = 0.0325, L = 0.14",0.0325,0,28.089630126953125,-1.008298397064209,0.2
-3.666027307510376,3.7717714309692383,0.14,"R = 0.0325, L = 0.14",0.0325,0,27.876564025878906,-1.0227787494659424,0.21
-3.6522059440612793,3.7573156356811523,0.14,"R = 0.0325, L = 0.14",0.0325,0,27.6643123626709,-1.0372589826583862,0.22
-3.6383845806121826,3.7428598403930664,0.14,"R = 0.0325, L = 0.14",0.0325,0,27.45287322998047,-1.0517395734786987,0.23
-3.624563217163086,3.7284040451049805,0.14,"R = 0.0325, L = 0.14",0.0325,0,27.24225425720215,-1.0661758184432983,0.24
-3.6107418537139893,3.7139482498168945,0.14,"R = 0.0325, L = 0.14",0.0325,0,27.032442092895508,-1.0805925130844116,0.25
-3.5969204902648926,3.6994924545288086,0.14,"R = 0.0325, L = 0.14",0.0325,0,26.823448181152344,-1.0950089693069458,0.26
-3.583099126815796,3.6850366592407227,0.14,"R = 0.0325, L = 0.14",0.0325,0,26.615264892578125,-1.1094248294830322,0.27
-3.569277763366699,3.6705808639526367,0.14,"R = 0.0325, L = 0.14",0.0325,0,26.40789794921875,-1.123858094215393,0.28
-3.5554563999176025,3.656125068664551,0.14,"R = 0.0325, L = 0.14",0.0325,0,26.201339721679688,-1.1383174657821655,0.29
-3.541635036468506,3.641669273376465,0.14,"R = 0.0325, L = 0.14",0.0325,0,25.99559783935547,-1.1527842283248901,0.3
-3.527813673019409,3.627213478088379,0.14,"R = 0.0325, L = 0.14",0.0325,0,25.790672302246094,-1.1672661304473877,0.31
-3.5139923095703125,3.612757682800293,0.14,"R = 0.0325, L = 0.14",0.0325,0,25.58655548095703,-1.1817433834075928,0.32
