# sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.973227766342461109e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.065117597579956055e+00,-1.042612595483660698e-03,1.042612494354859365e+00,1.001042612494354778e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.394246841993881846e-03,8.420338532840533283e-03
-5.722045948175491503e-09,-1.042612439050571993e-05,-7.973227766342461109e-04,0.000000000000000000e+00,-2.250500074296724051e-05,-1.087136745452880859e+00,-2.040300285443663597e-03,1.042612494354859365e+00,1.002085224988709555e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.077971160353430324e-02,1.684629659719181355e-02
-3.757329025688704860e-08,-3.105415817117318511e-05,-7.973227766342461109e-04,0.000000000000000000e+00,-6.702922837575897574e-05,-1.108680725097656250e+00,-2.994515001773834229e-03,1.042612494354859365e+00,1.003127837483064333e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.615638843040180170e-02,2.527786503369436333e-02
-1.166807948038695031e-07,-6.166951789055019617e-05,-7.973227766342461109e-04,0.000000000000000000e+00,-1.330974046140909195e-04,-1.129759669303894043e+00,-3.906666766852140427e-03,1.042612494354859365e+00,1.004170449977419111e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.152427147792975587e-02,3.371503467689000028e-02
-2.629942059684253763e-07,-1.020669296849519014e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-2.202444884460419416e-04,-1.150383591651916504e+00,-4.778125323355197906e-03,1.042612494354859365e+00,1.005213062471773888e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.688335491101073726e-02,4.215779635523180663e-02
-4.943418048242165241e-07,-1.520501391496509314e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-3.280154778622090816e-04,-1.170562267303466797e+00,-5.610220134258270264e-03,1.042612494354859365e+00,1.006255674966128666e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.223363290410286019e-02,5.060614089109409519e-02
-8.293009159388020635e-07,-2.114316303050145507e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-4.559652297757565975e-04,-1.190305471420288086e+00,-6.404243409633636475e-03,1.042612494354859365e+00,1.007298287460483444e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.757509964123611351e-02,5.906005910078237359e-02
-1.285299731534905732e-06,-2.800323127303272486e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-6.036581471562385559e-04,-1.209622502326965332e+00,-7.161449175328016281e-03,1.042612494354859365e+00,1.008340899954838221e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.290774931601867154e-02,6.751954179454335014e-02
-1.878626108009484597e-06,-3.576812741812318563e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-7.706680917181074619e-04,-1.228522539138793945e+00,-7.883055135607719421e-03,1.042612494354859365e+00,1.009383512449192999e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.823157613164322233e-02,7.598457977657491202e-02
-2.625389470267691649e-06,-4.442154895514249802e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-9.565780637785792351e-04,-1.247014641761779785e+00,-8.570244535803794861e-03,1.042612494354859365e+00,1.010426124943547777e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.354657430089326126e-02,8.445516384503612417e-02
-3.542483227647608146e-06,-5.394795443862676620e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-1.160980202257633209e-03,-1.265107631683349609e+00,-9.224164299666881561e-03,1.042612494354859365e+00,1.011468737437902554e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.885273804614937071e-02,9.293128479205721437e-02
-4.644731234293431044e-06,-6.433254457078874111e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-1.383475260809063911e-03,-1.282809972763061523e+00,-9.845930151641368866e-03,1.042612494354859365e+00,1.012511349932257332e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.415006159939552755e-02,1.014129334037496138e-01
-5.945849352428922430e-06,-7.556122727692127228e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-1.623672666028141975e-03,-1.300130248069763184e+00,-1.043662335723638535e-02,1.042612494354859365e+00,1.013553962426612109e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.943853920222534115e-02,1.099001004602159492e-01
-7.460360393451992422e-06,-8.762060897424817085e-04,-7.973227766342461109e-04,0.000000000000000000e+00,-1.881190342828631401e-03,-1.317076683044433594e+00,-1.099729444831609726e-02,1.042612494354859365e+00,1.014596574920966887e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.471816510584834703e-02,1.183927767355600763e-01
-9.202646651829127222e-06,-1.004979596473276615e-03,-7.973227766342461109e-04,0.000000000000000000e+00,-2.155654598027467728e-03,-1.333657383918762207e+00,-1.152896229177713394e-02,1.042612494354859365e+00,1.015639187415321665e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.998893357109622404e-02,1.268909529978970996e-01
-1.118695945478975773e-05,-1.141811953857541084e-03,-7.973227766342461109e-04,0.000000000000000000e+00,-2.446699421852827072e-03,-1.349880099296569824e+00,-1.203261688351631165e-02,1.042612494354859365e+00,1.016681799909676442e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.525083886842904635e-02,1.353946200093634200e-01
-1.342551513516809791e-05,-1.286588376387953758e-03,-7.973227766342461109e-04,0.000000000000000000e+00,-2.753966953605413437e-03,-1.365752696990966797e+00,-1.250921841710805893e-02,1.042612494354859365e+00,1.017724412404031220e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.050387527794152842e-02,1.439037685261267963e-01
-1.593136403243988752e-05,-1.439200248569250107e-03,-7.973227766342461109e-04,0.000000000000000000e+00,-3.077107015997171402e-03,-1.381282567977905273e+00,-1.295969821512699127e-02,1.042612494354859365e+00,1.018767024898385998e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.574803708936921454e-02,1.524183892983963229e-01
-1.871744461823254824e-05,-1.599544775672256947e-03,-7.973227766342461109e-04,0.000000000000000000e+00,-3.415777115151286125e-03,-1.396477341651916504e+00,-1.338496152311563492e-02,1.042612494354859365e+00,1.019809637392740775e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.009833186020946821e-01,1.609384730704325472e-01
-2.179658804379869252e-05,-1.767524750903248787e-03,-7.973227766342461109e-04,0.000000000000000000e+00,-3.769641974940896034e-03,-1.411344170570373535e+00,-1.378588564693927765e-02,1.042612494354859365e+00,1.020852249887095553e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.062097141251537868e-01,1.694640105805575170e-01
-2.518056862754747272e-05,-1.943048322573304176e-03,-7.973227766342461109e-04,0.000000000000000000e+00,-4.138373769819736481e-03,-1.425889968872070312e+00,-1.416332181543111801e-02,1.042612494354859365e+00,1.021894862381450331e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.114272179772418103e-01,1.779949925611648276e-01
-2.888106791942846030e-05,-2.126028761267662048e-03,-7.973227766342461109e-04,0.000000000000000000e+00,-4.521651193499565125e-03,-1.440121889114379883e+00,-1.451809611171483994e-02,1.042612494354859365e+00,1.022937474875805108e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.166358244867196220e-01,1.865314097387297532e-01
-3.291062603238970041e-05,-2.316384576261043549e-03,-7.973227766342461109e-04,0.000000000000000000e+00,-4.919160623103380203e-03,-1.454046607017517090e+00,-1.485100947320461273e-02,1.042612494354859365e+00,1.023980087370159886e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.218355279916198824e-01,1.950732528338192384e-01
