sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.968125870916992426e-04,2.590229851193726063e-04,-1.226289314217865467e-03,1.226289231542675218e+00,1.001226289231542665e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.392700130701607794e-03,8.421329188455398823e-03
2.517700181670079473e-07,-1.226320819114334881e-05,3.936251741833984852e-04,5.180459702387452126e-04,-2.451815409585833549e-03,1.226289231542675218e+00,1.002452578463085331e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.077506922396137025e-02,1.684926505341795278e-02
7.250130238389829174e-07,-3.678291977848857641e-05,5.904377903789281845e-04,7.770689553581178188e-04,-3.676578402519226074e-03,1.226289231542675218e+00,1.003678867694627996e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.614709918585289020e-02,2.528379492108336069e-02
1.389440285493037663e-06,-7.355237175943329930e-05,7.872503483667969704e-04,1.036091940477490425e-03,-4.900577943772077560e-03,1.226289231542675218e+00,1.004905156926170662e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.150878193799760432e-02,3.372490610773135056e-02
2.214771257058600895e-06,-1.225647283717989922e-04,9.840629063546657562e-04,1.295114867389202118e-03,-6.123814266175031662e-03,1.226289231542675218e+00,1.006131446157713327e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.686010941757692450e-02,4.217258591974477888e-02
3.171687239955645055e-06,-1.838131283875554800e-04,1.180875464342534542e-03,1.554137794300913811e-03,-7.346287369728088379e-03,1.226289231542675218e+00,1.007357735389255993e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.220107357734437042e-02,5.062682165362868830e-02
4.230878403177484870e-06,-2.572906669229269028e-04,1.377688022330403328e-03,1.813160721212625504e-03,-8.567997254431247711e-03,1.226289231542675218e+00,1.008584024620798658e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.753166638563767282e-02,5.908760059602942427e-02
5.361136118153808638e-06,-3.429903008509427309e-04,1.574500580318272114e-03,2.072183648124337196e-03,-9.788943454623222351e-03,1.226289231542675218e+00,1.009810313852341324e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.285187982639083321e-02,6.755491002375375864e-02
6.533166924782563001e-06,-4.409050452522933483e-04,1.771313138306140900e-03,2.331206575036048889e-03,-1.100912597030401230e-02,1.226289231542675218e+00,1.011036603083883989e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.816170589914620104e-02,7.602873720378801325e-02
7.716733307461254299e-06,-5.510277696885168552e-04,2.104657236486673355e-03,2.624399727210402489e-03,-1.222854480147361755e-02,1.226289231542675218e+00,1.012262892315426654e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.346113661906649883e-02,8.450906939331720436e-02
8.917844752431847155e-06,-6.733517511747777462e-04,2.438001334667205811e-03,2.917592879384756088e-03,-1.344667095690965652e-02,1.226289231542675218e+00,1.013489181546969320e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.875016401694681256e-02,9.299589383974422863e-02
1.010532741929637268e-05,-8.078645914793014526e-04,2.771345432847738266e-03,3.210786031559109688e-03,-1.466350350528955460e-02,1.226289231542675218e+00,1.014715470778511985e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.402878013922659595e-02,1.014891977807090145e-01
1.124992832046700642e-05,-9.545538341626524925e-04,3.104689531028270721e-03,3.503979183733463287e-03,-1.587904244661331177e-02,1.226289231542675218e+00,1.015941760010054651e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.929697704800162616e-02,1.099889684441077153e-01
1.232241083926055580e-05,-1.113407080993056297e-03,3.438033629208803177e-03,3.797172335907816887e-03,-1.709328964352607727e-02,1.226289231542675218e+00,1.017168049241597316e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.455474682103593875e-02,1.184951930481119298e-01
1.329355382040375844e-05,-1.284411642700433731e-03,3.771377727389335632e-03,4.090365488082170486e-03,-1.830624230206012726e-02,1.226289231542675218e+00,1.018394338473139982e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.980208155177373475e-02,1.270078588011879228e-01
1.413224345014896244e-05,-1.467555062845349312e-03,4.104721825569868088e-03,4.383558407425880432e-03,-1.951790228486061096e-02,1.226289231542675218e+00,1.019620627704682647e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.503897334935127394e-02,1.355269529021158603e-01
1.481024264649022371e-05,-1.662824535742402077e-03,4.438065923750400543e-03,4.676751326769590378e-03,-2.072826772928237915e-02,1.226289231542675218e+00,1.020846916936225313e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.026541433860874042e-02,1.440524625400090297e-01
1.529837572888936847e-05,-1.870207488536834717e-03,4.771410021930932999e-03,4.969944246113300323e-03,-2.193734049797058105e-02,1.226289231542675218e+00,1.022073206167767978e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.548139666010210802e-02,1.525843748943331579e-01
1.556748247821815312e-05,-2.089691115543246269e-03,5.104754120111465454e-03,5.263137165457010269e-03,-2.314511872828006744e-02,1.226289231542675218e+00,1.023299495399310644e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.006869124701149365e-01,1.611226771349256459e-01
1.558842086524236947e-05,-2.321262611076235771e-03,5.584368016570806503e-03,5.573883652687072754e-03,-2.435160242021083832e-02,1.226289231542675218e+00,1.024525784630853309e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.058819539406701399e-01,1.696673564220148589e-01
1.535018054710235447e-05,-2.564909402281045914e-03,6.063981913030147552e-03,5.884630139917135239e-03,-2.555622532963752747e-02,1.226289231542675218e+00,1.025752073862395974e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.110665132595418242e-01,1.782183999062394997e-01
1.482174229749944061e-05,-2.820613095536828041e-03,6.543595809489488602e-03,6.195376627147197723e-03,-2.675898745656013489e-02,1.226289231542675218e+00,1.026978363093938640e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.162405826302669726e-01,1.867757947286678710e-01
1.397592222929233685e-05,-3.088355064392089844e-03,7.023209705948829651e-03,6.506123114377260208e-03,-2.795988693833351135e-02,1.226289231542675218e+00,1.028204652325481305e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.214041542721572137e-01,1.953395280208172213e-01
1.278365289181238040e-05,-3.368116449564695358e-03,7.502823602408170700e-03,6.816869601607322693e-03,-2.915892563760280609e-02,1.226289231542675218e+00,1.029430941557023971e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.265572204203104789e-01,2.039095869046730902e-01
1.121589048125315458e-05,-3.659878857433795929e-03,7.982437498867511749e-03,7.127616088837385178e-03,-3.035610169172286987e-02,1.226289231542675218e+00,1.030657230788566636e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.316997733256227432e-01,2.124859584927086820e-01
9.245520232070703059e-06,-3.963623195886611938e-03,8.462050929665565491e-03,7.438362576067447662e-03,-3.155141696333885193e-02,1.226289231542675218e+00,1.031883520020109302e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.368318052547995989e-01,2.210686298879042944e-01
6.842589755251538008e-06,-4.279330838471651077e-03,8.941664360463619232e-03,7.749109063297510147e-03,-3.274486958980560303e-02,1.226289231542675218e+00,1.033109809251651967e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.419533084903679687e-01,2.296575881837666366e-01
3.979077519034035504e-06,-4.606983158737421036e-03,9.421277791261672974e-03,8.059855550527572632e-03,-3.393645957112312317e-02,1.226289231542675218e+00,1.034336098483194633e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.470642753306876382e-01,2.382528204643482861e-01
6.269847290241159499e-07,-4.946561064571142197e-03,9.900891222059726715e-03,8.370601572096347809e-03,-3.512618690729141235e-02,1.226289231542675218e+00,1.035562387714737298e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.521646980899628576e-01,2.468543138042670892e-01
-3.242618276999564841e-06,-5.298045463860034943e-03,1.052076648920774460e-02,8.697552606463432312e-03,-3.631405159831047058e-02,1.226289231542675218e+00,1.036788676946279963e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.572545690982539157e-01,2.554620552687255630e-01
-7.640517651452682912e-06,-5.661418195813894272e-03,1.114064175635576248e-02,9.024503640830516815e-03,-3.749950975179672241e-02,1.226289231542675218e+00,1.038014966177822629e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.623338807014887142e-01,2.640760319135304623e-01
-1.259559667232679203e-05,-6.036654580384492874e-03,1.176051702350378036e-02,9.351454675197601318e-03,-3.868255764245986938e-02,1.226289231542675218e+00,1.039241255409365294e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.674026252614741472e-01,2.726962307851121259e-01
-1.813480230339337140e-05,-6.423729937523603439e-03,1.238039229065179825e-02,9.678405709564685822e-03,-3.986319899559020996e-02,1.226289231542675218e+00,1.040467544640907960e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.724607951559077590e-01,2.813226389205440436e-01
-2.428504922136198729e-05,-6.822620052844285965e-03,1.300026755779981613e-02,1.000535674393177032e-02,-4.104143381118774414e-02,1.226289231542675218e+00,1.041693833872450625e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.775083827783890400e-01,2.899552433475622304e-01
