px,py,pz,vx,vy,vz
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.000000000000000000e+00
5.004999999999999449e-01,5.004999999999999449e-01,4.989999999999999991e-01,5.023546590484820884e-01,4.983842566287406406e-01,-1.007680374110673904e+00
5.010023546590484100e-01,5.009983842566286816e-01,4.979923196258893014e-01,5.046855588915571955e-01,4.967809879316154587e-01,-1.015343184341401139e+00
5.015070402179400144e-01,5.014951652445602814e-01,4.969769764415479241e-01,5.069928747298728666e-01,4.951901214704894638e-01,-1.022988439412071404e+00
5.020140330926698979e-01,5.019903553660307605e-01,4.959539880021358593e-01,5.092767777772400084e-01,4.936115853538285414e-01,-1.030616150903733041e+00
5.025233098704471324e-01,5.024839669513846419e-01,4.949233718512321412e-01,5.115394139005325913e-01,4.920435591378607421e-01,-1.038227439517777961e+00
5.030348492843477182e-01,5.029760105105225421e-01,4.938851444117143830e-01,5.137829579489209264e-01,4.904841907346415009e-01,-1.045823450532262777e+00
5.035486322422966232e-01,5.034664947012571501e-01,4.928393209611821035e-01,5.160075256522522746e-01,4.889334481242864627e-01,-1.053404175033939350e+00
5.040646397679489077e-01,5.039554281493814347e-01,4.917859167861481917e-01,5.182132304827041791e-01,4.873912990776602672e-01,-1.060969606988099390e+00
5.045828529984316413e-01,5.044428194484591454e-01,4.907249471791600981e-01,5.204001872333827716e-01,4.858577116930560269e-01,-1.068519739420845438e+00
5.051032531856650687e-01,5.049286771601522172e-01,4.896564274397392502e-01,5.225685086790091693e-01,4.843326546342857086e-01,-1.076054564420085624e+00
5.056258216943441131e-01,5.054130098147865402e-01,4.885803728753191910e-01,5.247183062932430087e-01,4.828160958784032397e-01,-1.083574075043874041e+00
5.061505400006373057e-01,5.058958259106649535e-01,4.874967988002752994e-01,5.268496938262731133e-01,4.813080035509103016e-01,-1.091078264365718420e+00
5.066773896944636313e-01,5.063771339142159045e-01,4.864057205359095803e-01,5.289627801498001380e-01,4.798083459852215404e-01,-1.098567125474567696e+00
5.072063524746134311e-01,5.068569422602011709e-01,4.853071534104350104e-01,5.310576759378410339e-01,4.783170920800900450e-01,-1.106040651474798464e+00
5.077374101505512938e-01,5.073352593522812981e-01,4.842011127589602171e-01,5.331344905653292443e-01,4.768342102261444171e-01,-1.113498836439877682e+00
5.082705446411166506e-01,5.078120935625074495e-01,4.830876139225203647e-01,5.351933335399370328e-01,4.753596687832782886e-01,-1.120941673503994984e+00
5.088057379746565578e-01,5.082874532312907645e-01,4.819666722490163480e-01,5.372343133097846613e-01,4.738934361999087574e-01,-1.128369155816731251e+00
5.093429722879663224e-01,5.087613466674906215e-01,4.808383030931996371e-01,5.392575379797552859e-01,4.724354813705278766e-01,-1.135781277496719976e+00
5.098822298259461094e-01,5.092337821488611693e-01,4.797025218157029425e-01,5.412631131660322614e-01,4.709857734564348308e-01,-1.143178031723280474e+00
5.104234929391121556e-01,5.097047679223175587e-01,4.785593437839796849e-01,5.432511460517817081e-01,4.695442809317970090e-01,-1.150559412644760027e+00
5.109667440851639597e-01,5.101743122032493805e-01,4.774087843713349377e-01,5.452217420475842236e-01,4.681109722996466549e-01,-1.157925415377516254e+00
5.115119658272115899e-01,5.106424231755489762e-01,4.762508589559574235e-01,5.471750069390142190e-01,4.666858166283088805e-01,-1.165276033143875400e+00
5.120591408341506057e-01,5.111091089921773190e-01,4.750855829228135541e-01,5.491110452172583978e-01,4.652687839084503341e-01,-1.172611260135155931e+00
5.126082518793678711e-01,5.115743777760857203e-01,4.739129716626783728e-01,5.510299593651688532e-01,4.638598426083323512e-01,-1.179931091510650454e+00
5.131592818387330501e-01,5.120382376186940476e-01,4.727330405711677175e-01,5.529318531971857409e-01,4.624589614039670837e-01,-1.187235520535584454e+00
5.137122136919302084e-01,5.125006965800980030e-01,4.715458050506321497e-01,5.548168294736925965e-01,4.610661102517989440e-01,-1.194524542397813915e+00
5.142670305214038784e-01,5.129617626903497651e-01,4.703512805082343262e-01,5.566849894252356989e-01,4.596812581819988974e-01,-1.201798151344778187e+00
5.148237155108290608e-01,5.134214439485317305e-01,4.691494823568895245e-01,5.585364358535243046e-01,4.583043743127362402e-01,-1.209056342591843469e+00
5.153822519466826346e-01,5.138797483228444429e-01,4.679404260142976946e-01,5.603712685997670473e-01,4.569354283865441624e-01,-1.216299111367610042e+00
5.159426232152823921e-01,5.143366837512309830e-01,4.667241269029300810e-01,5.621895876471808551e-01,4.555743897563985789e-01,-1.223526451960226913e+00
5.165048128029295915e-01,5.147922581409873910e-01,4.655006004509698592e-01,5.639914926439507648e-01,4.542212282206102847e-01,-1.230738359625734857e+00
5.170688042955735586e-01,5.152464793692079770e-01,4.642698620913441321e-01,5.657770826651119522e-01,4.528759134263248831e-01,-1.237934829633374312e+00
5.176345813782387006e-01,5.156993552826343308e-01,4.630319272617107740e-01,5.675464559746824511e-01,4.515384147504891144e-01,-1.245115857265573833e+00
5.182021278342133774e-01,5.161508936973848716e-01,4.617868114044452188e-01,5.692997093112098783e-01,4.502087020750123458e-01,-1.252281437817938770e+00
5.187714275435245659e-01,5.166011023994598883e-01,4.605345299666273040e-01,5.710369412271883993e-01,4.488867453690176812e-01,-1.259431566599240160e+00
5.193424644847517424e-01,5.170499891448289143e-01,4.592750984000280590e-01,5.727582468418853656e-01,4.475725142715334948e-01,-1.266566239885077216e+00
5.199152227315936292e-01,5.174975616591004357e-01,4.580085321601429782e-01,5.744637230901183944e-01,4.462659791647412000e-01,-1.273685453009511859e+00
5.204896864546837421e-01,5.179438276382651862e-01,4.567348467071334905e-01,5.761534656208486815e-01,4.449671097426960431e-01,-1.280789201319738169e+00
5.210658399203046409e-01,5.183887947480079195e-01,4.554540575058137475e-01,5.778275685600670064e-01,4.436758762041616011e-01,-1.287877481129744428e+00
5.216436674888647040e-01,5.188324706242121165e-01,4.541661800246840075e-01,5.794861268965346701e-01,4.423922487156515815e-01,-1.294950288765623014e+00
5.222231536157612153e-01,5.192748628729277893e-01,4.528712297359183681e-01,5.811292338582193517e-01,4.411161970538520771e-01,-1.302007619611884159e+00
5.228042828496194394e-01,5.197159790699816817e-01,4.515692221163064568e-01,5.827569823446130393e-01,4.398476923941875283e-01,-1.309049470019799877e+00
5.233870398319641071e-01,5.201558267623758169e-01,4.502601726462866494e-01,5.843694646886101740e-01,4.385867044483390265e-01,-1.316075836352712969e+00
5.239714092966527570e-01,5.205944134668241130e-01,4.489440968099339124e-01,5.859667731338931151e-01,4.373332040884075345e-01,-1.323086714986025703e+00
5.245573760697866961e-01,5.210317466709125656e-01,4.476210100949478687e-01,5.875489993581399784e-01,4.360871613787528078e-01,-1.330082103260863402e+00
5.251449250691447856e-01,5.214678338322913387e-01,4.462909279916870142e-01,5.891162339967354056e-01,4.348485473053955719e-01,-1.337061996622035398e+00
5.257340413031414972e-01,5.219026823795966941e-01,4.449538659950649788e-01,5.906685675974950867e-01,4.336173324935614359e-01,-1.344026391481058846e+00
5.263247098707389826e-01,5.223362997120902795e-01,4.436098396035839109e-01,5.922060899054546468e-01,4.323934879233325979e-01,-1.350975286168815792e+00
5.269169159606443831e-01,5.227686932000136233e-01,4.422588643174150680e-01,5.937288903405050222e-01,4.311769839160101703e-01,-1.357908676165159978e+00
5.275106448509848667e-01,5.231998701839296606e-01,4.409009556412499253e-01,5.952370563287577854e-01,4.299677912971149318e-01,-1.364826559823969498e+00
5.281058819073136679e-01,5.236298379752267751e-01,4.395361290814259747e-01,5.967306778345530249e-01,4.287658811574527329e-01,-1.371728932648073274e+00
5.287026125851481684e-01,5.240586038563842530e-01,4.381644001487778883e-01,5.982107824354034875e-01,4.275717595959205863e-01,-1.378615625167623815e+00
5.293008233675835505e-01,5.244861756159802102e-01,4.367857845236102765e-01,5.996779186036416132e-01,4.263856601382283729e-01,-1.385486553930421527e+00
5.299005012861871533e-01,5.249125612761184057e-01,4.354002979696798281e-01,6.011321547806135479e-01,4.252075563622399468e-01,-1.392341748114173106e+00
5.305016334409677903e-01,5.253377688324806227e-01,4.340079562215656273e-01,6.025736556634854191e-01,4.240376434794895788e-01,-1.399181637417402868e+00
5.311042070966313089e-01,5.257618064759601584e-01,4.326087745841482035e-01,6.040024832626026408e-01,4.228758798311553768e-01,-1.406006226708774509e+00
5.317082095798939534e-01,5.261846823557913000e-01,4.312027683574394255e-01,6.054186966686597726e-01,4.217222244834479272e-01,-1.412815518952599492e+00
5.323136282765625893e-01,5.266064045802747451e-01,4.297899528384868106e-01,6.068223573009553506e-01,4.205766365116112571e-01,-1.419609517118190833e+00
5.329204506338635072e-01,5.270269812167863721e-01,4.283703433213686407e-01,6.082135255670454432e-01,4.194390749105266769e-01,-1.426388225133530474e+00
5.335286641594305657e-01,5.274464202916968603e-01,4.269439550962351171e-01,6.095922611021967752e-01,4.183094989226422977e-01,-1.433151646930581391e+00
5.341382564205328087e-01,5.278647297906194913e-01,4.255108034493045310e-01,6.109586237238454620e-01,4.171878682165420238e-01,-1.439899786445279384e+00
5.347492150442566539e-01,5.282819176588360310e-01,4.240709036628592665e-01,6.123126727161209981e-01,4.160741423202603539e-01,-1.446632646663847721e+00
5.353615277169727626e-01,5.286979918011562862e-01,4.226242710161954297e-01,6.136544663535520305e-01,4.149682809790375959e-01,-1.453350232484805327e+00
5.359751821833262930e-01,5.291129600821353751e-01,4.211709207837106006e-01,6.149840645247611759e-01,4.138702441549117483e-01,-1.460052546902184112e+00
5.365901662478510525e-01,5.295268303262903320e-01,4.197108682368084209e-01,6.163015251541802408e-01,4.127799922956817413e-01,-1.466739594822526804e+00
5.372064677730051807e-01,5.299396103185860518e-01,4.182441286419859017e-01,6.176329759986630696e-01,4.116061898414687947e-01,-1.473379553178683077e+00
5.378241007490038861e-01,5.303512165084275365e-01,4.167707490888072352e-01,6.189912415042500005e-01,4.103031853806977658e-01,-1.479952338415983837e+00
5.384430919905081048e-01,5.307615196938082480e-01,4.152907967503912667e-01,6.203761729545742565e-01,4.088705989484619496e-01,-1.486452613287488234e+00
5.390634681634627334e-01,5.311703902927567000e-01,4.138043441371037634e-01,6.217875499405863815e-01,4.073083863886785561e-01,-1.492874968857654805e+00
5.396852557134033113e-01,5.315776986791453940e-01,4.123114691682461252e-01,6.232250810005094399e-01,4.056168554898768597e-01,-1.499213957970582545e+00
5.403084807944038559e-01,5.319833155346352926e-01,4.108122552102755343e-01,6.246883977423048906e-01,4.037966766328827672e-01,-1.505464129317128252e+00
5.409331691921461793e-01,5.323871122112682208e-01,4.093067910809584098e-01,6.261770565772316610e-01,4.018488901250261702e-01,-1.511620063499303779e+00
5.415593462487233722e-01,5.327889611013932880e-01,4.077951710174591016e-01,6.276905396831972128e-01,3.997749103135880833e-01,-1.517676410062379189e+00
5.421870367884065178e-01,5.331887360117069097e-01,4.062774946073967053e-01,6.292282550914062300e-01,3.975765237523014028e-01,-1.523627925269282146e+00
5.428162650434978920e-01,5.335863125354591840e-01,4.047538666821274278e-01,6.307895382566097719e-01,3.952558846829608563e-01,-1.529469509439764785e+00
5.434470545817544629e-01,5.339815684201421053e-01,4.032243971726876541e-01,6.323736546747312781e-01,3.928155028707142060e-01,-1.535196243934723981e+00
5.440794282364291856e-01,5.343743839230128412e-01,4.016892009287529319e-01,6.339798055038989855e-01,3.902582310570983370e-01,-1.540803423493768864e+00
5.447134080419331337e-01,5.347646421540699357e-01,4.001483975052591568e-01,6.356071300939253321e-01,3.875872455019702678e-01,-1.546286591610886108e+00
5.453490151720270518e-01,5.351522293995718549e-01,3.986021109136482776e-01,6.372547115009039587e-01,3.848060229769041385e-01,-1.551641566456862131e+00
5.459862698835279415e-01,5.355370354225487128e-01,3.970504693471914037e-01,6.389215832971871789e-01,3.819183172222551104e-01,-1.556864468148627223e+00
5.466251914668250889e-01,5.359189537397709424e-01,3.954936048790427816e-01,6.406067338764722674e-01,3.789281289434104361e-01,-1.561951739054131760e+00
5.472657982007015365e-01,5.362978818687142990e-01,3.939316531399886245e-01,6.423088431672899778e-01,3.758397997386448974e-01,-1.566899856746416742e+00
5.479081070438688306e-01,5.366737216684529521e-01,3.923647532832422180e-01,6.440240368684856387e-01,3.726590526196193465e-01,-1.571702867398456105e+00
5.485521310807373041e-01,5.370463807210725804e-01,3.907930504158437790e-01,6.457511612370373522e-01,3.693905723722558099e-01,-1.576358382820517434e+00
5.491978822419743000e-01,5.374157712934448661e-01,3.892166920330232815e-01,6.474890482847368567e-01,3.660391541918146530e-01,-1.580864386479970962e+00
5.498453712902590107e-01,5.377818104476367322e-01,3.876358276465433073e-01,6.492365240865057840e-01,3.626096690486790841e-01,-1.585219234842764058e+00
5.504946078143455601e-01,5.381444201166853958e-01,3.860506084117005243e-01,6.509924128397555076e-01,3.591070343770458306e-01,-1.589421649679828796e+00
5.511456002271852839e-01,5.385035271510624222e-01,3.844611867620206791e-01,6.527555459239973157e-01,3.555361810662686084e-01,-1.593470710044245564e+00
5.517983557731093169e-01,5.388590633321287404e-01,3.828677160519764477e-01,6.545247634277115978e-01,3.519020268184780975e-01,-1.597365840215394517e+00
5.524528805365370721e-01,5.392109653589471918e-01,3.812703502117610332e-01,6.562989236665703885e-01,3.482094498865020982e-01,-1.601106795863686649e+00
5.531091794602036593e-01,5.395591748088336415e-01,3.796692434158973617e-01,6.580769040302708595e-01,3.444632648499409422e-01,-1.604693644181361067e+00
5.537672563642339618e-01,5.399036380736835783e-01,3.780645497717159964e-01,6.598576091411795241e-01,3.406682010430975294e-01,-1.608126748760295488e+00
5.544271139733751852e-01,5.402443062747266378e-01,3.764564230229556774e-01,6.616399699917334676e-01,3.368288849717441247e-01,-1.611406747330198286e+00
5.550887539433668749e-01,5.405811351596984116e-01,3.748450162756254977e-01,6.634229513654695820e-01,3.329498239669599902e-01,-1.614534531730996259e+00
5.557521768947323304e-01,5.409140849836653331e-01,3.732304817438945044e-01,6.652055511114204345e-01,3.290353927794034128e-01,-1.617511227348809699e+00
5.564173824458437112e-01,5.412431203764447307e-01,3.716129705165456820e-01,6.669868020979959899e-01,3.250898220180018505e-01,-1.620338170466767869e+00
5.570843692479416909e-01,5.415682101984626851e-01,3.699926323460789312e-01,6.687657758675272790e-01,3.211171905781539659e-01,-1.623016888750467457e+00
5.577531350238091878e-01,5.418893273890408313e-01,3.683696154573284365e-01,6.705415824884367604e-01,3.171214176054103495e-01,-1.625549079314317913e+00
5.584236766062976587e-01,5.422064488066462573e-01,3.667440663780140997e-01,6.723133713256397304e-01,3.131062603237099728e-01,-1.627936589545816659e+00
5.590959899776233311e-01,5.425195550669699163e-01,3.651161297884683021e-01,6.740803308751617262e-01,3.090753088952722938e-01,-1.630181399149279065e+00
5.597700703084984575e-01,5.428286303758651510e-01,3.634859483893190246e-01,6.758416887606305545e-01,3.050319862148820338e-01,-1.632285598383772962e+00
5.604459119972591274e-01,5.431336623620800497e-01,3.618536627909352266e-01,6.775967128307606169e-01,3.009795480580494398e-01,-1.634251376649362930e+00
5.611235087100898689e-01,5.434346419101381276e-01,3.602194114142858727e-01,6.793447083041097567e-01,2.969210849099953031e-01,-1.636081000823090825e+00
5.618028534183939771e-01,5.437315629950481011e-01,3.585833304134627975e-01,6.810850192626598520e-01,2.928595236401695945e-01,-1.637776804710039835e+00
5.624839384376566498e-01,5.440244225186883220e-01,3.569455536087527414e-01,6.828170260038577410e-01,2.887976312709542026e-01,-1.639341172660215618e+00
5.631667554636604622e-01,5.443132201499593092e-01,3.553062124360925056e-01,6.845401466790445033e-01,2.847380180562612551e-01,-1.640776530409679523e+00
5.638512956103395313e-01,5.445979581680155945e-01,3.536654359056828345e-01,6.862538603378182112e-01,2.806815472594380578e-01,-1.642086504188734697e+00
5.645375494706773578e-01,5.448786397152750594e-01,3.520233494014941011e-01,6.879577065287050264e-01,2.766281152880922800e-01,-1.643275242957327853e+00
5.652255071772060990e-01,5.451552678305631172e-01,3.503800741585367806e-01,6.896512234800008523e-01,2.725798682413836382e-01,-1.644345084432628168e+00
5.659151584006860691e-01,5.454278476988044799e-01,3.487357290741041616e-01,6.913339787816424886e-01,2.685388244830643201e-01,-1.645298370187877612e+00
5.666064923794676966e-01,5.456963865232875577e-01,3.470904307039162640e-01,6.930055676355160177e-01,2.645068814439261451e-01,-1.646137436831468071e+00
5.672994979471032151e-01,5.459608934047315287e-01,3.454442932670848121e-01,6.946656114349507583e-01,2.604858198942421321e-01,-1.646864611088396657e+00
5.679941635585381565e-01,5.462213792246257693e-01,3.437974286559964399e-01,6.963137570776997132e-01,2.564773106499599886e-01,-1.647482203524477828e+00
5.686904773156158388e-01,5.464778565352756967e-01,3.421499464524719869e-01,6.979496777300895349e-01,2.524829175012290872e-01,-1.647992506221328091e+00
5.693884269933459086e-01,5.467303394527769367e-01,3.405019539462506573e-01,6.995730688143027010e-01,2.485041038530671764e-01,-1.648397785282926353e+00
5.700880000621602051e-01,5.469788435566299567e-01,3.388535561609677393e-01,7.011836474713246670e-01,2.445422368737292240e-01,-1.648700280395371420e+00
5.707891837096314980e-01,5.472233857935037138e-01,3.372048558805723628e-01,7.027811517338676817e-01,2.405985934979237295e-01,-1.648902200861840806e+00
5.714919648613653314e-01,5.474639843870016120e-01,3.355559536797105280e-01,7.043653403413995262e-01,2.366743636484942293e-01,-1.649005722715124245e+00
5.721963302017066821e-01,5.477006587506501045e-01,3.339069479569953813e-01,7.059359906399740314e-01,2.327706558533621795e-01,-1.649012986871943642e+00
