sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.968125870916992426e-04,2.590229851193726063e-04,-9.696818888187408447e-04,9.696818480363211812e-01,1.000969681848036252e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.394860928379084132e-03,8.419945104538910374e-03
2.546310611251101363e-07,-9.697068890091031790e-06,3.936251741833984852e-04,5.180459702387452126e-04,-1.938600558787584305e-03,9.696818480363211812e-01,1.001939363696072505e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.078155465376084803e-02,1.684511754840809991e-02
7.449533541148412041e-07,-2.908431451942306012e-05,5.904377903789281845e-04,7.770689553581178188e-04,-2.906756009906530380e-03,9.696818480363211812e-01,1.002909045544108757e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.616007611112976403e-02,2.527550940956272557e-02
1.452033757232129574e-06,-5.815481563331559300e-05,7.872503483667969704e-04,1.036091940477490425e-03,-3.874148242175579071e-03,9.696818480363211812e-01,1.003878727392145009e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.153042024315454661e-02,3.371111276105021731e-02
2.355992137381690554e-06,-9.690162551123648882e-05,9.840629063546657562e-04,1.295114867389202118e-03,-4.840777255594730377e-03,9.696818480363211812e-01,1.004848409240181262e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.689258200019290987e-02,4.215191967101772352e-02
3.439816282480023801e-06,-1.453177537769079208e-04,1.180875464342534542e-03,1.554137794300913811e-03,-5.806643050163984299e-03,9.696818480363211812e-01,1.005818091088217514e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.224655634029631457e-02,5.059792220271958768e-02
4.684593022830085829e-06,-2.033962227869778872e-04,1.377688022330403328e-03,1.813160721212625504e-03,-6.771745160222053528e-03,9.696818480363211812e-01,1.006787772936253766e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.759233822921471263e-02,5.904911241452479032e-02
6.070462859497638419e-06,-2.711299748625606298e-04,1.574500580318272114e-03,2.072183648124337196e-03,-7.736084051430225372e-03,9.696818480363211812e-01,1.007757454784290019e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.292992264040126904e-02,6.750548235992442914e-02
7.580433702969457954e-06,-3.485119668766856194e-04,1.771313138306140900e-03,2.331206575036048889e-03,-8.699659258127212524e-03,9.696818480363211812e-01,1.008727136632326271e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.825930455501710459e-02,7.596702408753917835e-02
9.194659469358157367e-06,-4.355350974947214127e-04,2.073635347187519073e-03,2.615922363474965096e-03,-9.662470780313014984e-03,9.696818480363211812e-01,1.009696818480362523e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.358047896193599696e-02,8.443372964112678958e-02
1.092095772037282586e-05,-5.321925273165106773e-04,2.375957556068897247e-03,2.900638151913881302e-03,-1.062410976737737656e-02,9.696818480363211812e-01,1.010666500328398776e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.889344085774911308e-02,9.290559105958955122e-02
1.274140231544151902e-05,-6.384730222634971142e-04,2.678279764950275421e-03,3.185353940352797508e-03,-1.158457621932029724e-02,9.696818480363211812e-01,1.011636182176435028e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.419818524676969285e-02,1.013826003769817824e-01
1.463617263652849942e-05,-7.543654646724462509e-04,2.980601973831653595e-03,3.470069728791713715e-03,-1.254386920481920242e-02,9.696818480363211812e-01,1.012605864024471281e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.949470714103776758e-02,1.098647496225173131e-01
