px,py,pz,vx,vy,vz
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.000000000000000000e+00
5.004999999999999449e-01,5.004999999999999449e-01,4.989999999999999991e-01,5.025985617955219809e-01,4.982168929892535347e-01,-1.007459781129274701e+00
5.010025985617955202e-01,5.009982168929891788e-01,4.979925402188707384e-01,5.051690819530741949e-01,4.964482964700945855e-01,-1.014900575273377736e+00
5.015077676437486032e-01,5.014946651894592877e-01,4.969776396435973687e-01,5.077117892332223548e-01,4.946941189026329289e-01,-1.022322398248398434e+00
5.020154794329818593e-01,5.019893593083619709e-01,4.959553172453489700e-01,5.102269083320424281e-01,4.929542692026334105e-01,-1.029725264909477467e+00
5.025257063413138825e-01,5.024823135775645655e-01,4.949255919804395054e-01,5.127176804106953201e-01,4.912259834727213947e-01,-1.037110888599547698e+00
5.030384240217246061e-01,5.029735395610372972e-01,4.938884810918399704e-01,5.151858923357849340e-01,4.895077779340791246e-01,-1.044480176731201082e+00
5.035536099140603961e-01,5.034630473389714034e-01,4.928440009151087708e-01,5.176316957413495956e-01,4.877996119470703329e-01,-1.051833121097414114e+00
5.040712416098017679e-01,5.039508469509185185e-01,4.917921677940113590e-01,5.200552416213446438e-01,4.861014449134454796e-01,-1.059169715417640933e+00
5.045912968514231212e-01,5.044369483958319744e-01,4.907329980785937185e-01,5.224566808071355872e-01,4.844132366339451989e-01,-1.066489952474553471e+00
5.051137535322302030e-01,5.049213616324659260e-01,4.896665081261191710e-01,5.248361620602502997e-01,4.827349476058828137e-01,-1.073793825068809715e+00
5.056385896942904301e-01,5.054040965800717933e-01,4.885927143010503348e-01,5.271938315978620393e-01,4.810665376514506875e-01,-1.081081327926385560e+00
5.061657835258882576e-01,5.058851631177232466e-01,4.875116329731239428e-01,5.295298383408725273e-01,4.794079664549706354e-01,-1.088352452927966452e+00
5.066953133642291274e-01,5.063645710841782055e-01,4.864232805201959553e-01,5.318443274733775095e-01,4.777591945167524723e-01,-1.095607195787982491e+00
5.072271576917024571e-01,5.068423302786949636e-01,4.853276733244079599e-01,5.341374442616260154e-01,4.761201815428423578e-01,-1.102845549374431133e+00
5.077612951359641302e-01,5.073184504602378242e-01,4.842248277750335061e-01,5.364093321464907804e-01,4.744908882937145522e-01,-1.110067506573215290e+00
5.082977044681106227e-01,5.077929413485315902e-01,4.831147602684602860e-01,5.386601348912748444e-01,4.728712745565097908e-01,-1.117273063149149426e+00
5.088363646030018561e-01,5.082658126230881201e-01,4.819974872053111592e-01,5.408899939586474526e-01,4.712613015899815849e-01,-1.124462212020567842e+00
5.093772545969604826e-01,5.087370739246781515e-01,4.808730249932905987e-01,5.430990504205864822e-01,4.696609295598073719e-01,-1.131634948031010834e+00
5.099203536473810860e-01,5.092067348542379523e-01,4.797413900452595636e-01,5.452874449587495898e-01,4.680701189703948550e-01,-1.138791266039640426e+00
5.104656410923398280e-01,5.096748049732083841e-01,4.786025987792199010e-01,5.474553159574976346e-01,4.664888310221389500e-01,-1.145931160921224379e+00
5.110130964082972849e-01,5.101412938042305667e-01,4.774566676182986913e-01,5.496028033211828312e-01,4.649170261801235382e-01,-1.153054627566121537e+00
5.115626992116184546e-01,5.106062108304106895e-01,4.763036129907325944e-01,5.517300427502525029e-01,4.633546651882789469e-01,-1.160161659926592259e+00
5.121144292543686749e-01,5.110695654955990097e-01,4.751434513308059882e-01,5.538371712296875637e-01,4.618017094863130501e-01,-1.167252253878916290e+00
5.126682664255983735e-01,5.115313672050852967e-01,4.739761990769270628e-01,5.559243241664043600e-01,4.602581201360409491e-01,-1.174326404360134024e+00
5.132241907497647748e-01,5.119916253252213556e-01,4.728018726725669030e-01,5.579916365831041336e-01,4.587238584774984695e-01,-1.181384107276490569e+00
5.137821823863478743e-01,5.124503491836988056e-01,4.716204885652904299e-01,5.600392416881294633e-01,4.571988851153622746e-01,-1.188425357594962151e+00
5.143422216280360004e-01,5.129075480688142230e-01,4.704320632076954833e-01,5.620672723080079036e-01,4.556831618271769968e-01,-1.195450151251700399e+00
5.149042889003440093e-01,5.133632312306414258e-01,4.692366130564437632e-01,5.640758606493996297e-01,4.541766504891296408e-01,-1.202458483243558529e+00
5.154683647609934471e-01,5.138174078811305057e-01,4.680341545732001896e-01,5.660651363923925317e-01,4.526793117646550346e-01,-1.209450350490210102e+00
5.160344298973857935e-01,5.142700871928951312e-01,4.668247042227099963e-01,5.680352317001552409e-01,4.511911080861018553e-01,-1.216425748017216701e+00
5.166024651290859193e-01,5.147212783009812442e-01,4.656082784746927716e-01,5.699862743018323519e-01,4.497120013877205502e-01,-1.223384672772931392e+00
5.171724514033877451e-01,5.151709903023690140e-01,4.643848938019198291e-01,5.719183927428362901e-01,4.482419531062650231e-01,-1.230327120765240867e+00
5.177443697961305880e-01,5.156192322554752350e-01,4.631545666811545670e-01,5.738317156685663889e-01,4.467809249564542728e-01,-1.237253088970010850e+00
5.183182015117991925e-01,5.160660131804316597e-01,4.619173135921845752e-01,5.757263692016129086e-01,4.453288788114622698e-01,-1.244162573422612494e+00
5.188939278810008604e-01,5.165113420592430948e-01,4.606731510187619394e-01,5.776024783751293468e-01,4.438857770007791914e-01,-1.251055570172693754e+00
5.194715303593759881e-01,5.169552278362439246e-01,4.594220954485892516e-01,5.794601695182118872e-01,4.424515818328655925e-01,-1.257932077191513232e+00
5.200509905288942525e-01,5.173976794180767946e-01,4.581641633713977591e-01,5.812995659627835376e-01,4.410262559528267401e-01,-1.264792090555008963e+00
5.206322900948570087e-01,5.178387056740296757e-01,4.568993712808427365e-01,5.831207913848684976e-01,4.396097615671826220e-01,-1.271635608260702988e+00
5.212154108862419033e-01,5.182783154355968813e-01,4.556277356725820238e-01,5.849239683736077167e-01,4.382020609808420786e-01,-1.278462626410769465e+00
5.218003348546155218e-01,5.187165174965777670e-01,4.543492730461712314e-01,5.867092165251025504e-01,4.368031168354290505e-01,-1.285273143028939247e+00
