px,pz,theta,vx,vz,theta_dot
-1.500000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.500000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.977876795953118976e-04,-5.894479423285163555e-02
-1.500000000000000000e+00,9.999940221232041238e-02,-5.894479423285163615e-05,0.000000000000000000e+00,-1.127517140907667017e-03,-1.845566560044598625e-01
-1.500000000000000000e+00,9.999827469517950929e-02,-2.435014502373115161e-04,5.447520942905447186e-07,-1.695783400898664278e-03,-1.253906185302189058e-01
-1.499999999455247979e+00,9.999657891177861357e-02,-3.688920687675304117e-04,2.836579610740618101e-06,-2.093816987885125346e-03,3.514572944547494915e-02
-1.499999996618668341e+00,9.999448509479072489e-02,-3.337463393220554790e-04,6.235018577332947015e-06,-2.691261066604973187e-03,-1.665390591459427194e-02
-1.499999990383649839e+00,9.999179383372411301e-02,-3.504002452366497327e-04,9.313038857902166588e-06,-3.278627576337401518e-03,-8.321136749702662261e-02
-1.499999981070611055e+00,9.998851520614777943e-02,-4.336116127336763848e-04,1.277570282083761901e-05,-3.206603039279230186e-03,-4.196833798996211229e-01
-1.499999968294908337e+00,9.998530860310850255e-02,-8.532949926332974912e-04,1.678451605233103252e-05,-3.771433254790031338e-03,-3.583002431966462176e-01
-1.499999951510392338e+00,9.998153716985370976e-02,-1.211595235829943671e-03,2.466624185866477290e-05,-4.344623052631109254e-03,-3.085649524247675579e-01
-1.499999926844150400e+00,9.997719254680108303e-02,-1.520160188254711300e-03,3.585455531722566753e-05,-4.920261895524401588e-03,-2.640493271868695757e-01
-1.499999890989595075e+00,9.997227228490555839e-02,-1.784209515441580836e-03,4.989355396404441395e-05,-5.495058960263110928e-03,-2.204442218564164890e-01
-1.499999841096041120e+00,9.996677722594529691e-02,-2.004653737297997299e-03,6.637971198570281255e-05,-6.065033960428440826e-03,-1.725969611746562271e-01
-1.499999774716329171e+00,9.996071219198486568e-02,-2.177250698472653345e-03,8.494014907351450194e-05,-6.616371539121050985e-03,-1.065827151245732629e-01
-1.499999689776180034e+00,9.995409582044574581e-02,-2.283833413597226650e-03,1.081320861778423153e-04,-5.774451448305031008e-03,3.435437632320909040e-01
-1.499999581644093860e+00,9.994832136899743646e-02,-1.940289650365135867e-03,1.330416083399916919e-04,-4.677579386031765867e-03,-1.533937491227502781e-01
-1.499999448602485463e+00,9.994364378961140272e-02,-2.093683399487886176e-03,1.510434564574628482e-04,-5.209673108783417772e-03,-6.904354562915300531e-02
-1.499999297559029054e+00,9.993843411650261965e-02,-2.162726945117039116e-03,1.706518881747734907e-04,-5.654167765021731601e-03,-2.387123279642581197e-01
-1.499999126907140878e+00,9.993277994873760173e-02,-2.401439273081297163e-03,1.906314866990050977e-04,-6.226030968069953646e-03,-1.934886971983039439e-01
-1.499998936275654282e+00,9.992655391776952833e-02,-2.594927970279600933e-03,2.128401434765729908e-04,-6.787987790498261134e-03,-1.383456827002391698e-01
-1.499998723435510772e+00,9.991976592997903195e-02,-2.733273652979839943e-03,2.370319003147761962e-04,-7.275300295648480693e-03,-2.672449990065491054e-02
-1.499998486403610443e+00,9.991249062968338146e-02,-2.759998152880494774e-03,2.622808184120407090e-04,-7.847712543212887609e-03,-1.004449299337350776e-01
-1.499998224122792045e+00,9.990464291714017120e-02,-2.860443082814229706e-03,3.107215542157271528e-04,-1.067541295209084584e-04,9.742314653845687289e-01
-1.499997913401237781e+00,9.990453616301064876e-02,-1.886211617429660835e-03,3.401661210026474995e-04,3.769261248814553041e-04,5.787779364171292684e-01
-1.499997573235116732e+00,9.990491308913553026e-02,-1.307433681012531513e-03,3.642319241648606489e-04,3.325714375061277622e-03,-1.062465652801517502e-01
-1.499997209003192555e+00,9.990823880351058783e-02,-1.413680246292683355e-03,3.781545854911445652e-04,4.164555379713968941e-03,3.425815653992216880e-01
-1.499996830848607132e+00,9.991240335889030322e-02,-1.071098680893461767e-03,3.935193192966950386e-04,5.223154279932555252e-03,-1.495051176942281956e-01
-1.499996437329287780e+00,9.991762651317023791e-02,-1.220603798587689909e-03,4.034435701644892096e-04,4.678637703279415853e-03,-6.011620183738342060e-02
-1.499996033885717672e+00,9.992230515087351106e-02,-1.280720000425073337e-03,4.147691517147119190e-04,4.147304489967060942e-03,-1.914961200003683361e-01
-1.499995619116565981e+00,9.992645245536348197e-02,-1.472216120425441687e-03,4.265873179108896980e-04,3.565051172065411469e-03,-1.356484126557484793e-01
-1.499995192529248067e+00,9.993001750653554560e-02,-1.607864533081190166e-03,4.403001888576709528e-04,3.069485954665191786e-03,-1.761929341188120390e-02
-1.499994752229059314e+00,9.993308699249020544e-02,-1.625483826493071297e-03,4.551111141959844966e-04,2.471028513366189082e-03,-8.519036936660089043e-02
-1.499994297117945186e+00,9.993555802100356766e-02,-1.710674195859672149e-03,4.717758357938685375e-04,2.913180302948845286e-03,-4.996436637841366046e-01
-1.499993825342109455e+00,9.993847120130651407e-02,-2.210317859643808665e-03,4.876106635762517019e-04,2.359654957401204414e-03,-4.152674970974139512e-01
-1.499993337731445830e+00,9.994083085626391527e-02,-2.625585356741222658e-03,5.080184970228409074e-04,1.782625737303455190e-03,-3.547368990797798993e-01
-1.499992829712948783e+00,9.994261348200121631e-02,-2.980322255821002495e-03,5.322396854313181467e-04,1.197666808014478468e-03,-3.054000440601005728e-01
-1.499992297473263347e+00,9.994381114880923622e-02,-3.285722299881103058e-03,5.597266734414836501e-04,6.104636292922390860e-04,-2.610270465096906634e-01
-1.499991737746589893e+00,9.994442161243852207e-02,-3.546749346390793735e-03,5.900337017216493278e-04,2.428611014648231203e-05,-2.173382954681215007e-01
-1.499991147712888218e+00,9.994444589854867278e-02,-3.764087641858915138e-03,6.227668303773841157e-04,-5.567021373825438825e-04,-1.690192376377502304e-01
-1.499990524946057890e+00,9.994388919641128410e-02,-3.933106879496665181e-03,6.575835684173697007e-04,-1.117030790554204758e-03,-1.009176125807576402e-01
-1.499989867362489404e+00,9.994277216562072463e-02,-4.034024492077422849e-03,7.145195722567782536e-04,3.548983209634838914e-03,7.578909016276467181e-01
-1.499989152842917228e+00,9.994632114883035545e-02,-3.276133590449775961e-03,7.569086660387061051e-04,4.246818233283512593e-03,3.285630405709249469e-01
-1.499988395934251262e+00,9.995056796706364155e-02,-2.947570549878850837e-03,7.906802840280845656e-04,4.745157692812710694e-03,-7.920358206801508816e-02
-1.499987605253967127e+00,9.995531312475645913e-02,-3.026774131946866064e-03,8.191166846717197600e-04,4.582532644129231995e-03,-3.573878096271480564e-01
-1.499986786137282424e+00,9.995989565740058536e-02,-3.384161941574014183e-03,8.470222922870132868e-04,3.992091547754622605e-03,-3.076265112437929217e-01
-1.499985939114990119e+00,9.996388774894833518e-02,-3.691788452817807223e-03,8.782145637821463929e-04,3.399189593451810206e-03,-2.630897569933318136e-01
-1.499985060900426381e+00,9.996728693854178838e-02,-3.954878209811139161e-03,9.122454929498549853e-04,2.807154001909971386e-03,-2.194633503386701767e-01
-1.499984148654933458e+00,9.997009409254370427e-02,-4.174341560149809165e-03,9.487209677487287111e-04,2.220013137362457194e-03,-1.715884896502807566e-01
-1.499983199933965672e+00,9.997231410568106769e-02,-4.345930049800089852e-03,9.872994506968520937e-04,1.651772182147235365e-03,-1.055166041675138361e-01
-1.499982212634515033e+00,9.997396587786321065e-02,-4.451446653967603556e-03,1.033678901507679385e-03,2.513632586656257446e-03,3.475850892033695572e-01
