# px,py,pz,vx,vy,vz,phi,theta,psi
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000999999999999890e+00,1.000999999999999890e+00,9.989999999999999991e-01,9.861110654855437252e-01,1.007504223344212413e+00,-9.950117563976407231e-01,9.899999999999999911e-01,1.003399054050445605e+00,1.000000000000000000e+00
1.001986111065485519e+00,1.002007504223344059e+00,9.980049882436023978e-01,9.721918985589165230e-01,1.014920377075413160e+00,-9.900723814117925459e-01,9.799999999999999822e-01,1.006798108100891209e+00,1.000000000000000000e+00
1.002958302964044535e+00,1.003022424600419571e+00,9.970149158621905983e-01,9.582426600360112179e-01,1.022248153088384681e+00,-9.851805410209547587e-01,9.699999999999999734e-01,1.010197162151336814e+00,1.000000000000000000e+00
1.003916545624080614e+00,1.004044672753507950e+00,9.960297353211696736e-01,9.442635110801546050e-01,1.029487262159908267e+00,-9.803348994345796319e-01,9.599999999999999645e-01,1.013596216201782418e+00,1.000000000000000000e+00
1.004860809135160737e+00,1.005074160015667850e+00,9.950494004217350641e-01,9.302546132002452728e-01,1.036637433955967857e+00,-9.755341193526463339e-01,9.499999999999999556e-01,1.016995270252228023e+00,1.000000000000000000e+00
1.005791063748360914e+00,1.006110797449623728e+00,9.940738663023823696e-01,9.162161282488878733e-01,1.043698417035434423e+00,-9.707768622252100910e-01,9.399999999999999467e-01,1.020394324302673628e+00,1.000000000000000000e+00
1.006707279876609906e+00,1.007154495866659172e+00,9.931030894401571274e-01,9.021482184205228405e-01,1.050669978850230057e+00,-9.660617885118795156e-01,9.299999999999999378e-01,1.023793378353119232e+00,1.000000000000000000e+00
1.007609428095030513e+00,1.008205165845509343e+00,9.921370276516452424e-01,8.880510462495526669e-01,1.057551905741975107e+00,-9.613875579411741423e-01,9.199999999999999289e-01,1.027192432403564837e+00,1.000000000000000000e+00
1.008497479141279962e+00,1.009262717751251426e+00,9.911756400937040690e-01,8.739247746084639612e-01,1.064344002935120326e+00,-9.567528297697154294e-01,9.099999999999999201e-01,1.030591486454010441e+00,1.000000000000000000e+00
1.009371403915888532e+00,1.010327061754186628e+00,9.902188872639343664e-01,8.597695667059458424e-01,1.071046094526567849e+00,-9.521562630412031547e-01,8.999999999999999112e-01,1.033990540504456046e+00,1.000000000000000000e+00
1.010231173482594391e+00,1.011398107848713090e+00,9.892667310008931292e-01,8.455855860850040040e-01,1.077658023471783411e+00,-9.475965168451306875e-01,8.899999999999999023e-01,1.037389594554901651e+00,1.000000000000000000e+00
1.011076759068679332e+00,1.012475765872184796e+00,9.883191344840479564e-01,8.313729966210715583e-01,1.084179651567405589e+00,-9.430722505751913953e-01,8.799999999999998934e-01,1.040788648605347255e+00,1.000000000000000000e+00
1.011908132065300503e+00,1.013559945523752281e+00,9.873760622334727399e-01,8.171319625201155512e-01,1.090610859430357404e+00,-9.385821241873287812e-01,8.699999999999998845e-01,1.044187702655792860e+00,1.000000000000000000e+00
1.012725264027820593e+00,1.014650556383182689e+00,9.864374801092854472e-01,8.028626483167395911e-01,1.096951546473464711e+00,-9.341247984573842755e-01,8.599999999999998757e-01,1.047586756706238464e+00,1.000000000000000000e+00
1.013528126676137342e+00,1.015747507929656068e+00,9.855033553108281108e-01,7.885652188722831468e-01,1.103201630877588491e+00,-9.296989352382946104e-01,8.499999999999998668e-01,1.050985810756684069e+00,1.000000000000000000e+00
1.014316691895009725e+00,1.016850709560533694e+00,9.845736563755898008e-01,7.742398393729167383e-01,1.109361049560278367e+00,-9.253031977167923694e-01,8.399999999999998579e-01,1.054384864807129674e+00,1.000000000000000000e+00
1.015090931734382584e+00,1.017960070610093970e+00,9.836483531778730249e-01,7.598866753277334629e-01,1.115429758140954908e+00,-9.209362506695629724e-01,8.299999999999998490e-01,1.057783918857575278e+00,1.000000000000000000e+00
1.015850818409710365e+00,1.019075500368235021e+00,9.827274169272034454e-01,7.455058925668367475e-01,1.121407730902627797e+00,-9.165967607188111321e-01,8.199999999999998401e-01,1.061182972908020883e+00,1.000000000000000000e+00
1.016596324302277310e+00,1.020196908099137545e+00,9.818108201664846879e-01,7.310976572394244366e-01,1.127294960750160113e+00,-9.122833965871903761e-01,8.099999999999998312e-01,1.064582026958466487e+00,1.000000000000000000e+00
