sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.465078305453062057e-03,-2.337715122848749161e-03,0.000000000000000000e+00,3.131806105375289917e-02,1.953492872416973114e-03,-1.486120128236014803e+00,9.985138798717639874e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.415522357326411386e-03,8.406671017548968464e-03
-2.356529421376762912e-06,1.953035098267719150e-05,6.930156610906124115e-03,-4.675430245697498322e-03,3.131806079181842506e-05,6.226564943790435791e-02,3.869357751682400703e-03,-1.486120128236014803e+00,9.970277597435279748e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.084353205283169683e-02,1.680528463799256175e-02
-7.137713510019239038e-06,5.851527384947985411e-05,1.039523445069789886e-02,-7.013145368546247482e-03,9.358371607959270477e-05,9.285099059343338013e-02,5.748883821070194244e-03,-1.486120128236014803e+00,9.955416396152919623e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.628401709847077106e-02,2.519582231255058924e-02
-1.440870346414158121e-05,1.168880407931283116e-04,1.386031322181224823e-02,-9.350860491394996643e-03,1.864347141236066818e-04,1.230821236968040466e-01,7.593322079628705978e-03,-1.486120128236014803e+00,9.940555194870559497e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.173696547864608503e-02,3.357826551027900952e-02
-2.423550540697760880e-05,1.945906551554799080e-04,1.732539199292659760e-02,-1.168857514858245850e-02,3.095168503932654858e-04,1.529668867588043213e-01,9.403887204825878143e-03,-1.486120128236014803e+00,9.925693993588199371e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.720236515023415763e-02,4.195259571811085775e-02
-3.668403951451182365e-05,2.915736404247581959e-04,2.079047076404094696e-02,-1.402628980576992035e-02,4.624837310984730721e-04,1.825129538774490356e-01,1.118175778537988663e-02,-1.486120128236014803e+00,9.910832792305839245e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.268020404261217510e-02,5.031879444089713826e-02
-5.182110544410534203e-05,4.077955964021384716e-04,2.425554953515529633e-02,-1.636400446295738220e-02,6.449967040680348873e-04,2.117277979850769043e-01,1.292807795107364655e-02,-1.486120128236014803e+00,9.895971591023479119e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.817047005768464674e-02,5.867684320144767041e-02
-6.971057882765308022e-05,5.432231118902564049e-04,2.772062830626964569e-02,-1.870171912014484406e-02,8.567245095036923885e-04,2.406187355518341064e-01,1.464395690709352493e-02,-1.486120128236014803e+00,9.881110389741118993e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.367315106991013357e-02,6.702672354057187531e-02
-9.041819430422037840e-05,6.978302844800055027e-04,3.118570707738399506e-02,-2.103943377733230591e-02,1.097343279980123043e-03,2.691929042339324951e-01,1.633047312498092651e-02,-1.486120128236014803e+00,9.866249188458758868e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.918823492632802552e-02,7.536841701711959052e-02
-1.140096501330845058e-04,8.715986041352152824e-04,4.710109904408454895e-03,-1.719643548130989075e-02,1.366536132991313934e-03,2.992256283760070801e-01,1.687177643179893494e-02,-1.486120128236014803e+00,9.851387987176398742e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.471570944658536023e-02,8.370190520802175960e-02
-1.341619499726220965e-04,1.053488580510020256e-03,-2.176548726856708527e-02,-1.335343718528747559e-02,1.665761810727417469e-03,3.267487287521362305e-01,1.712602004408836365e-02,-1.486120128236014803e+00,9.836526785894038616e-01,1.000000000000000000e+01,0.000000000000000000e+00,6.025556242296375986e-02,9.202716970833112187e-02
-1.508442510385066271e-04,1.240945071913301945e-03,-4.824108630418777466e-02,-9.510438889265060425e-03,1.992510631680488586e-03,3.518100380897521973e-01,1.710077747702598572e-02,-1.486120128236014803e+00,9.821665584611678490e-01,1.000000000000000000e+01,0.000000000000000000e+00,6.580778162040637480e-02,1.003441921312628882e-01
-1.640190457692369819e-04,1.431460608728230000e-03,-7.471668720245361328e-02,-5.667440127581357956e-03,2.344320761039853096e-03,3.744564652442932129e-01,1.680343598127365112e-02,-1.486120128236014803e+00,9.806804383329318364e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.137235477654488291e-02,1.086529541082353056e-01
-1.736460690153762698e-04,1.622574171051383018e-03,-1.011922806501388550e-01,-1.824441365897655487e-03,2.718777162954211235e-03,3.947340548038482666e-01,1.624119281768798828e-02,-1.486120128236014803e+00,9.791943182046958238e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.694926960172662755e-02,1.169534372889102780e-01
-1.796785072656348348e-04,1.811869908124208450e-03,-1.276678740978240967e-01,2.018557395786046982e-03,3.113511251285672188e-03,4.126879870891571045e-01,1.542106643319129944e-02,-1.486120128236014803e+00,9.777081980764598113e-01,1.000000000000000000e+01,0.000000000000000000e+00,8.253851377904170006e-02,1.252456233412338471e-01
-1.820707548176869750e-04,1.996975392103195190e-03,-1.541434675455093384e-01,5.861556157469749451e-03,3.526199143379926682e-03,4.283626079559326172e-01,1.434989832341670990e-02,-1.486120128236014803e+00,9.762220779482237987e-01,1.000000000000000000e+01,0.000000000000000000e+00,8.814007496435018185e-02,1.335294939514767021e-01
-1.807765365811064839e-04,2.175561152398586273e-03,-1.806190609931945801e-01,9.704554453492164612e-03,3.954561892896890640e-03,4.418013691902160645e-01,1.303435862064361572e-02,-1.486120128236014803e+00,9.747359578199877861e-01,1.000000000000000000e+01,0.000000000000000000e+00,9.375394078630938655e-02,1.418050308242746471e-01
-1.757499121595174074e-04,2.345338463783264160e-03,-2.070946544408798218e-01,1.354755274951457977e-02,4.396363161504268646e-03,4.530469477176666260e-01,1.148094702512025833e-02,-1.486120128236014803e+00,9.732498376917517735e-01,1.000000000000000000e+01,0.000000000000000000e+00,9.938009884640119918e-02,1.500722156826689579e-01
-1.669501361902803183e-04,2.504058880731463432e-03,-2.335702478885650635e-01,1.739055104553699493e-02,4.849410150200128555e-03,4.621411859989166260e-01,9.696002118289470673e-03,-1.486120128236014803e+00,9.717637175635157609e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.050185367189594293e-01,1.583310302681467663e-01
-1.543407561257481575e-04,2.649512607604265213e-03,-2.324187010526657104e-01,1.695977896451950073e-02,5.311551503837108612e-03,4.641551077365875244e-01,7.752570789307355881e-03,-1.486120128236014803e+00,9.702775974352797483e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.106692419511973030e-01,1.665814563406814164e-01
-1.421735505573451519e-04,2.780142240226268768e-03,-2.312671542167663574e-01,1.652900688350200653e-02,5.775706842541694641e-03,4.662318229675292969e-01,5.862500518560409546e-03,-1.486120128236014803e+00,9.687914773070437358e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.163322020632349268e-01,1.748234756787727107e-01
