px,pz,theta,vx,vz,theta_dot
-1.500011580021475055e+00,1.010479527238717368e-01,-7.863540304859941137e-04,-9.463954575799503246e-04,4.693226673234058427e-02,-1.015152787411588653e+00
-1.500012526416932612e+00,1.010948849906040808e-01,-1.801506817897582805e-03,-9.386973857367480458e-04,4.691183982289467980e-02,-8.328843618724584008e-01
-1.500013465114318434e+00,1.011417968304269693e-01,-2.634391179770041117e-03,-9.210731880008082894e-04,4.688486062238796798e-02,-6.549092492032133617e-01
-1.500014386187506377e+00,1.011886816910493592e-01,-3.289300428973254697e-03,-8.954801964809863592e-04,4.678979305575729775e-02,-5.095936674383578779e-01
-1.500015281667702816e+00,1.012354714841051107e-01,-3.798894096411612777e-03,-8.638005757866327452e-04,4.661087027895768203e-02,-4.160551574357290727e-01
-1.500016145468278550e+00,1.012820823543840731e-01,-4.214949253847341537e-03,-8.273351651807840960e-04,4.639977834593843331e-02,-3.512781799036447938e-01
-1.500016972803443815e+00,1.013284821327300050e-01,-4.566227433750986477e-03,-7.869211501713216633e-04,4.617797816666575905e-02,-2.992618986565560579e-01
-1.500017759724594058e+00,1.013746601108966722e-01,-4.865489332407542215e-03,-7.431547874249308083e-04,4.595270849348570552e-02,-2.525600046172166713e-01
-1.500018502879381543e+00,1.014206128193901602e-01,-5.118049337024759178e-03,-6.965167783682482162e-04,4.572810429841407676e-02,-2.060980639337111897e-01
-1.500019199396160019e+00,1.014663409236885722e-01,-5.324147400958469979e-03,-6.474237729642491916e-04,4.551015265826321987e-02,-1.529686504047006179e-01
-1.500019846819933056e+00,1.015118510763468318e-01,-5.477116051363170417e-03,-5.961518705495948188e-04,4.533012983434023258e-02,-6.759499129345739044e-02
-1.500020442971803591e+00,1.015571812061811657e-01,-5.544711042656628140e-03,-5.426563378119675027e-04,4.528713080729021567e-02,-2.614093644590128052e-01
-1.500020985628141457e+00,1.016024683369884524e-01,-5.806120407115641230e-03,-4.895034750027615900e-04,4.506326030832624036e-02,-2.152961422163697236e-01
-1.500021475131616544e+00,1.016475315972967808e-01,-6.021416549332011224e-03,-4.338158312589145593e-04,4.484434937900873275e-02,-1.643292406295661090e-01
-1.500021908947447802e+00,1.016923759466757948e-01,-6.185745789961577361e-03,-3.759150598121056212e-04,4.465003884219525404e-02,-9.075325884447540958e-02
-1.500022284862507549e+00,1.017370259855179954e-01,-6.276499048806052569e-03,-1.514575547670530392e-04,7.112582390669329457e-02,-1.883043866467436933e+00
-1.500022436320062269e+00,1.018081518094246934e-01,-8.159542915273489475e-03,-9.047773194455801778e-05,7.103127540137034457e-02,-1.698113203483935241e+00
-1.500022526797794242e+00,1.018791830848260610e-01,-9.857656118757425132e-03,-1.121046837260030295e-05,7.093572941326153902e-02,-1.516592036852042691e+00
-1.500022538008262574e+00,1.019501188142393211e-01,-1.137424815560946802e-02,8.456647386396766713e-05,7.084141017341999413e-02,-1.337161255770084711e+00
-1.500022453441788750e+00,1.020209602244127461e-01,-1.271140941137955185e-02,1.951371649674476464e-04,7.075213379780116718e-02,-1.157842425987173129e+00
-1.500022258304623879e+00,1.020917123582105457e-01,-1.386925183736672541e-02,3.188244615516641796e-04,7.067202532398053627e-02,-9.766303553993551656e-01
-1.500021939480162381e+00,1.021623843835345324e-01,-1.484588219276608036e-02,4.539058154523508250e-04,7.060102884995292372e-02,-7.934173456047567408e-01
-1.500021485574347002e+00,1.022329854123844861e-01,-1.563929953837083636e-02,5.982761579476484660e-04,7.051491955895160257e-02,-6.181100608655325512e-01
-1.500020887298189054e+00,1.023035003319434366e-01,-1.625740959923636930e-02,7.490777197347735271e-04,7.034660884826195171e-02,-4.829999576107358861e-01
-1.500020138220469423e+00,1.023738469407916990e-01,-1.674040955684710438e-02,9.046245068343713785e-04,7.010351322267840968e-02,-3.970339885419621462e-01
-1.500019233595962564e+00,1.024439504540143736e-01,-1.713744354538906597e-02,1.064362361031345999e-03,6.983467359038120215e-02,-3.355773450700159088e-01
-1.500018169233601428e+00,1.025137851276047563e-01,-1.747302089045908030e-02,1.227741258359858539e-03,6.955718654809651957e-02,-2.849749981722369818e-01
-1.500016941492342992e+00,1.025833423141528505e-01,-1.775799588863131648e-02,1.394276943433253244e-03,6.927723505157236394e-02,-2.385754193666150269e-01
-1.500015547215399536e+00,1.026526195492044186e-01,-1.799657130799793212e-02,1.563559170277082754e-03,6.899896562240806497e-02,-1.912655260777429700e-01
-1.500013983656229177e+00,1.027216185148268207e-01,-1.818783683407567547e-02,1.735284688222563923e-03,6.873005960722612662e-02,-1.346780662227246017e-01
-1.500012248371541013e+00,1.027903485744340456e-01,-1.832251490029839988e-02,1.910141694000409840e-03,6.853295234425191285e-02,-2.566013257758389954e-02
-1.500010338229847084e+00,1.028588815267783008e-01,-1.834817503287598447e-02,2.084916316511717035e-03,6.826067491653205199e-02,-1.111573336432555570e-01
-1.500008253313530604e+00,1.029271422016948268e-01,-1.845933236651924048e-02,2.266194449657667025e-03,6.832946610981285862e-02,1.054739796201575874e-01
-1.500005987119080952e+00,1.029954716678046361e-01,-1.835385838689908289e-02,2.441856758129186226e-03,6.803456407753810664e-02,4.722183357620308997e-02
-1.500003545262322824e+00,1.030635062318821793e-01,-1.830663655332287823e-02,2.616515301362559720e-03,6.773967131254987617e-02,-7.784889222837258760e-03
-1.500000928747021511e+00,1.031312459031947237e-01,-1.831442144254571622e-02,2.790932115360946365e-03,6.745612521803616424e-02,-7.856224397068689580e-02
-1.499998137814906096e+00,1.031987020284127615e-01,-1.839298368651640439e-02,2.992516340829381831e-03,6.865175197335794677e-02,-5.598408005085495631e-01
-1.499995145298565369e+00,1.032673537803861230e-01,-1.895282448702495515e-02,3.169258306200063453e-03,6.844987413678334243e-02,-4.454763845029712788e-01
-1.499991976040259134e+00,1.033358036545229119e-01,-1.939830087152792648e-02,3.350386815523711398e-03,6.819553805543111802e-02,-3.710748820730947473e-01
-1.499988625653443597e+00,1.034039991925783386e-01,-1.976937575360102062e-02,3.535447549156703340e-03,6.792439003307777778e-02,-3.146933388057263636e-01
-1.499985090205894434e+00,1.034719235826114109e-01,-2.008406909240674845e-02,3.723936214530030632e-03,6.764752408442113729e-02,-2.662206822556439367e-01
-1.499981366269679928e+00,1.035395711066958296e-01,-2.035028977466239383e-02,3.915408313544857175e-03,6.736977338869411247e-02,-2.200200217124956559e-01
-1.499977450861366357e+00,1.036069408800845276e-01,-2.057030979637488807e-02,4.109494524245626071e-03,6.709572690702519937e-02,-1.704897312094857120e-01
-1.499973341366842128e+00,1.036740366069915514e-01,-2.074079952758437276e-02,4.306036091779006335e-03,6.683900283324864522e-02,-1.044194337927822763e-01
-1.499969035330750433e+00,1.037408756098247981e-01,-2.084521896137715366e-02,4.517038978143965260e-03,6.720086861670578060e-02,1.902337599033535609e-01
-1.499964518291772242e+00,1.038080764784415078e-01,-2.065498520147380015e-02,4.715960273599696662e-03,6.693226432092196088e-02,9.760362253741579341e-02
-1.499959802331498615e+00,1.038750087427624258e-01,-2.055738157893638451e-02,4.912547752422659515e-03,6.663858783842098454e-02,4.054811395411118957e-02
-1.499954889783746248e+00,1.039416473306008504e-01,-2.051683346498227312e-02,5.108227504680825683e-03,6.634595684714156283e-02,-1.532956673878241999e-02
-1.499949781556241479e+00,1.040079932874479890e-01,-2.053216303172105545e-02,5.303842130589236925e-03,6.606896680708744529e-02,-9.209521314697918792e-02
-1.499944477714110880e+00,1.040740622542550703e-01,-2.062425824486803505e-02,5.680523419581945399e-03,7.460230230701062060e-02,9.864766612931346046e-01
-1.499938797190691231e+00,1.041486645565620761e-01,-1.963778158357490020e-02,5.904086568126625835e-03,7.563058054791016449e-02,5.544631750752551103e-01
-1.499932893104123144e+00,1.042242951371099846e-01,-1.908331840849964572e-02,6.232966211467245998e-03,8.256571869918366557e-02,-3.910812965604720803e-01
-1.499926660137911760e+00,1.043068608558091748e-01,-1.947439970506011780e-02,6.414481945762824482e-03,8.226631300445692851e-02,-3.302494515143692966e-01
-1.499920245655965934e+00,1.043891271688136280e-01,-1.980464915657448657e-02,6.599557569917837568e-03,8.195864578924827448e-02,-2.798262507631810725e-01
-1.499913646098395947e+00,1.044710858146028765e-01,-2.008447540733766801e-02,6.787729327000492814e-03,8.164879664359542266e-02,-2.332825182488447169e-01
-1.499906858369068896e+00,1.045527346112464784e-01,-2.031775792558651247e-02,6.978603370054209387e-03,8.134108003300823120e-02,-1.853839167504798824e-01
-1.499899879765698829e+00,1.046340756912794850e-01,-2.050314184233699086e-02,7.171916585519278430e-03,8.104426622289767623e-02,-1.269421757713569965e-01
-1.499892707849113327e+00,1.047151199575023783e-01,-2.063008401810834808e-02,7.369049039400169671e-03,8.084766260799380877e-02,-2.182236512977275833e-03
-1.499885338800073908e+00,1.047959676201103696e-01,-2.063226625462132383e-02,7.564941502178928155e-03,8.053179123992923460e-02,-7.125059455000815056e-02
-1.499877773858571794e+00,1.048764994113502991e-01,-2.070351684917133214e-02,7.773530161703853282e-03,8.083018447444115240e-02,-3.878969968214804886e-01
-1.499870000328410002e+00,1.049573295958247388e-01,-2.109141384599281382e-02,7.970500934430765558e-03,8.053270500231422824e-02,-3.275847566910238262e-01
-1.499862029827475629e+00,1.050378623008270534e-01,-2.141899860268383846e-02,8.170996358340754454e-03,8.022731642919342376e-02,-2.773618509117338204e-01
-1.499853858831117215e+00,1.051180896172562440e-01,-2.169636045359557217e-02,8.374563857744422163e-03,7.991992538719863703e-02,-2.308081219631522851e-01
-1.499845484267259499e+00,1.051980095426434392e-01,-2.192716857555872603e-02,8.580819081642264076e-03,7.961487713588610848e-02,-1.826360041885596586e-01
-1.499836903448177772e+00,1.052776244197793226e-01,-2.210980457974728516e-02,8.789524892579078305e-03,7.932148939299157875e-02,-1.231770460908815229e-01
-1.499828113923285189e+00,1.053569459091723143e-01,-2.223298162583816837e-02,9.002642143823310836e-03,7.914895689536086132e-02,1.239437979462974793e-02
-1.499819111281141426e+00,1.054360948660676700e-01,-2.222058724604353969e-02,9.213721082353836661e-03,7.883134805449326654e-02,-5.052090725449456809e-02
-1.499809897560059113e+00,1.055149262141221594e-01,-2.227110815329803525e-02,9.426839048654996056e-03,7.861078359921139236e-02,-1.927553150603318610e-01
-1.499800470721010415e+00,1.055935369977213656e-01,-2.246386346835836656e-02,9.638770270964075459e-03,7.831518136679803399e-02,-1.370205826712387887e-01
-1.499790831950739367e+00,1.056718521790881576e-01,-2.260088405102960579e-02,9.853861002285432477e-03,7.807853682909494941e-02,-3.661506555706384169e-02
-1.499780978089737093e+00,1.057499307159172480e-01,-2.263749911658666930e-02,1.006941419052306656e-02,7.780429149166431801e-02,-1.424549746605868195e-01
-1.499770908675546632e+00,1.058277350074089129e-01,-2.277995409124725784e-02,1.028587408690193050e-02,7.755466380062207843e-02,-5.090232639017266969e-02
-1.499760622801459720e+00,1.059052896712095321e-01,-2.283085641763743165e-02,1.050450390248483003e-02,7.734046877069525316e-02,-1.954497398227794114e-01
-1.499750118297557222e+00,1.059826301399802301e-01,-2.302630615746021139e-02,1.072179079933276505e-02,7.704606197088277597e-02,-1.405540010431391151e-01
-1.499739396506757805e+00,1.060596762019511141e-01,-2.316686015850335026e-02,1.094209061466423077e-02,7.680168128198633370e-02,-4.629017482492901736e-02
-1.499728454416143109e+00,1.061364778832331046e-01,-2.321315033332828001e-02,1.116387296365468906e-02,7.656322740171551955e-02,-1.757132166603788681e-01
-1.499717290543179482e+00,1.062130411106348149e-01,-2.338886354998865810e-02,1.138501405413609550e-02,7.627805988797099757e-02,-1.131422686105912484e-01
-1.499705905529125305e+00,1.062893191705227836e-01,-2.350200581859925031e-02,1.161320115365784174e-02,7.622250941222402654e-02,6.869678390806167878e-02
-1.499694292327971690e+00,1.063655416799350051e-01,-2.343330903469119028e-02,1.183632026186287427e-02,7.590438125045113893e-02,1.353532438148937617e-02
-1.499682456007709774e+00,1.064414460611854546e-01,-2.341977371030970131e-02,1.205892999991739663e-02,7.559235653635298924e-02,-4.931922350139102823e-02
-1.499670397077709882e+00,1.065170384177218099e-01,-2.346909293381109138e-02,1.228359158534936789e-02,7.537341886450456274e-02,-1.892206529847268726e-01
-1.499658113486124433e+00,1.065924118365863121e-01,-2.365831358679581706e-02,1.250707738458401580e-02,7.508422848804793825e-02,-1.323240462648863636e-01
-1.499645606408739784e+00,1.066674960650743631e-01,-2.379063763306070445e-02,1.273406993569878819e-02,7.486705928144077316e-02,-2.327203597688341785e-02
-1.499632872338804157e+00,1.067423631243558102e-01,-2.381390966903758691e-02,1.296060700274071116e-02,7.457737266476122118e-02,-1.104780093468932800e-01
-1.499619911731801425e+00,1.068169404970205766e-01,-2.392438767838447888e-02,1.319422882271764630e-02,7.457582743188850838e-02,8.925358531402713402e-02
-1.499606717502978803e+00,1.068915163244524708e-01,-2.383513409307045153e-02,1.342143459706668894e-02,7.426084258879830924e-02,3.279140956886938268e-02
-1.499593296068381765e+00,1.069657771670412677e-01,-2.380234268350158236e-02,1.364785296212690097e-02,7.394839714139488096e-02,-2.521219161371308914e-02
-1.499579648215419558e+00,1.070397255641826612e-01,-2.382755487511529699e-02,1.387459955383765590e-02,7.366282807238576369e-02,-1.148667944534110530e-01
-1.499565773615865627e+00,1.071133883922550517e-01,-2.394242166956870796e-02,1.410641292887483342e-02,7.357978091026003142e-02,5.521219625891821137e-02
-1.499551667202936756e+00,1.071869681731653090e-01,-2.388720947330979019e-02,1.433383680932195405e-02,7.326674933739057982e-02,-3.187924256007057533e-04
-1.499537333366127489e+00,1.072602349225026952e-01,-2.388752826573539018e-02,1.456098101081828612e-02,7.296397107344489152e-02,-6.951361001727013322e-02
-1.499522772385116776e+00,1.073331988935761344e-01,-2.395704187575265973e-02,1.480197990025218339e-02,7.324095227533426733e-02,-3.779879261209538877e-01
-1.499507970405216550e+00,1.074064398458514646e-01,-2.433502980187361373e-02,1.503017165715061880e-02,7.295416888515297849e-02,-3.192066411823703542e-01
-1.499492940233559501e+00,1.074793940147366206e-01,-2.465423644305598377e-02,1.526179758252026522e-02,7.266049999222451428e-02,-2.695333271387445606e-01
-1.499477678435976902e+00,1.075520545147288509e-01,-2.492376977019472931e-02,1.549642752140657949e-02,7.236539204829102456e-02,-2.228408214695791201e-01
-1.499462182008455491e+00,1.076244199067771384e-01,-2.514661059166430762e-02,1.573370102927893963e-02,7.207338940749308254e-02,-1.735865285201403374e-01
-1.499446448307426127e+00,1.076964932961846366e-01,-2.532019712018444835e-02,1.597346977757971645e-02,7.179621316035909862e-02,-1.100872193376782604e-01
-1.499430474837648575e+00,1.077682895093450000e-01,-2.543028433952212661e-02,1.622189428058692581e-02,7.179543424254231088e-02,8.878586843988270361e-02
-1.499414252943368053e+00,1.078400849435875442e-01,-2.534149847108224315e-02,1.646352667647435833e-02,7.148514343090742185e-02,3.224324545019299770e-02
-1.499397789416691662e+00,1.079115700870184463e-01,-2.530925522563205049e-02,1.670438378033792248e-02,7.117756267941043047e-02,-2.614023285256703022e-02
-1.499381085032911232e+00,1.079827476496978550e-01,-2.533539545848461846e-02,1.694566736720536440e-02,7.089894018435410894e-02,-1.179314845646886878e-01
-1.499364139365544135e+00,1.080536465898822157e-01,-2.545332694304930712e-02,1.719113370790487788e-02,7.077553926233756676e-02,3.427830719909985557e-02
-1.499346948231836230e+00,1.081244221291445540e-01,-2.541904863585020893e-02,1.743308057111146725e-02,7.046899675940387908e-02,-2.378398079332361137e-02
-1.499329515151265113e+00,1.081948911259039553e-01,-2.544283261664353341e-02,1.767536921193864005e-02,7.018871830360738640e-02,-1.127934887920616497e-01
-1.499311839782053069e+00,1.082650798442075651e-01,-2.555562610543559571e-02,1.792362748696721408e-02,7.013410629336232216e-02,6.629436196824629868e-02
-1.499293916154566197e+00,1.083352139505009276e-01,-2.548933174346735067e-02,1.816652410231701237e-02,6.982666100518597485e-02,1.080751756732750007e-02
-1.499275749630463839e+00,1.084050406115061177e-01,-2.547852422590002330e-02,1.840897089356991617e-02,6.952629762638430633e-02,-5.377494331928208554e-02
-1.499257340659570170e+00,1.084745669091324999e-01,-2.553229916921930659e-02,1.865479743105166732e-02,6.936259188617094340e-02,-2.171819227681280606e-01
-1.499238685862139153e+00,1.085439295010186683e-01,-2.574948109198743618e-02,1.889801613055798468e-02,6.907644417663630354e-02,-1.670456962660521461e-01
-1.499219787846008511e+00,1.086130059451953095e-01,-2.591652678825348902e-02,1.914376998943996197e-02,6.880836624759788245e-02,-9.986258456857796673e-02
-1.499200644076019051e+00,1.086818143114429008e-01,-2.601638937282206576e-02,1.941104853954777471e-02,6.930911154695917897e-02,2.268734808626127475e-01
-1.499181233027479410e+00,1.087511234229898566e-01,-2.578951589195945318e-02,1.966019666110789890e-02,6.907353416480480068e-02,9.998562053405810057e-02
-1.499161572830818301e+00,1.088201969571546551e-01,-2.568953027142539466e-02,1.990537911451234834e-02,6.876848552341982557e-02,4.192440397963656529e-02
-1.499141667451703741e+00,1.088889654426780790e-01,-2.564760586744575799e-02,2.014964080300859009e-02,6.846461311280362116e-02,-1.515947434071296396e-02
-1.499121517810900750e+00,1.089574300557908798e-01,-2.566276534178647123e-02,2.039398483260388209e-02,6.817949633320355418e-02,-9.573029055138315702e-02
-1.499101123826068083e+00,1.090256095521240781e-01,-2.575849563233785500e-02,2.067586710934687239e-02,6.935118087999758707e-02,3.492239928227198753e-01
-1.499080447958958784e+00,1.090949607330040788e-01,-2.540927163951513593e-02,2.098285028617771775e-02,7.145628973388021277e-02,-2.289355997034916435e-01
-1.499059465108672606e+00,1.091664170227379521e-01,-2.563820723921862721e-02,2.122472440548186720e-02,7.116336943130546766e-02,-1.803037340781212527e-01
-1.499038240384267029e+00,1.092375803921692562e-01,-2.581851097329674813e-02,2.146908392492787379e-02,7.088234991773788296e-02,-1.200841020592967601e-01
-1.499016771300342166e+00,1.093084627420869981e-01,-2.593859507535604611e-02,2.171854696123555473e-02,7.073238042023130556e-02,2.104189337872122700e-02
-1.498995052753380852e+00,1.093791951225072251e-01,-2.591755318197732499e-02,2.196512717018239344e-02,7.042655384010397535e-02,-4.049305766872417917e-02
-1.498973087626210621e+00,1.094496216763473223e-01,-2.595804623964604804e-02,2.221311220413217657e-02,7.018263842594833768e-02,-1.599067234429093765e-01
-1.498950874514006548e+00,1.095198043147732753e-01,-2.611795296308895911e-02,2.246090816087941908e-02,6.991651146332202027e-02,-8.796204218454449497e-02
-1.498928413605845611e+00,1.095897208262365946e-01,-2.620591500527350362e-02,2.301475956999384648e-02,8.130746346968849292e-02,1.131880404536677265e+00
-1.498905398846275716e+00,1.096710282897062766e-01,-2.507403460073682686e-02,2.330173669157117183e-02,8.244580946972018820e-02,6.839819519671594961e-01
-1.498882097109584199e+00,1.097534740991759905e-01,-2.439005264876966880e-02,2.360442094337100727e-02,8.470490089048350602e-02,1.021437543574360562e-01
-1.498858492688640798e+00,1.098381790000664687e-01,-2.428790889441223219e-02,2.383543585919935953e-02,8.436470848091874586e-02,4.353829782225424050e-02
-1.498834657252781533e+00,1.099225437085473850e-01,-2.424437059658997654e-02,2.406550940834669208e-02,8.402560645101826708e-02,-1.380428535133242096e-02
-1.498810591743373166e+00,1.100065693149984009e-01,-2.425817488194130858e-02,2.429563291559156887e-02,8.370557924699041641e-02,-9.451579572514486050e-02
-1.498786296110457661e+00,1.100902748942453879e-01,-2.435269067766645396e-02,2.456360553212128331e-02,8.494010556170321358e-02,3.603969719716654807e-01
-1.498761732504925615e+00,1.101752149998070918e-01,-2.399229370569478867e-02,2.488205431008825783e-02,8.820405403417495849e-02,-3.322755910046085170e-01
-1.498736850450615554e+00,1.102634190538412662e-01,-2.432456929669939844e-02,2.510957533811361553e-02,8.787532219269114653e-02,-2.803941519493631240e-01
-1.498711740875277476e+00,1.103512943760339565e-01,-2.460496344864876103e-02,2.534018294080965863e-02,8.754389160790648772e-02,-2.329994093253962839e-01
-1.498686400692336607e+00,1.104388382676418645e-01,-2.483796285797415862e-02,2.557349581561333199e-02,8.721432796471309534e-02,-1.846510466380946736e-01
-1.498660827196520939e+00,1.105260525956065776e-01,-2.502261390461225227e-02,2.580927879196035293e-02,8.689522256600110128e-02,-1.263601350372493548e-01
-1.498635017917729018e+00,1.106129478181725745e-01,-2.514897403964949998e-02,2.604904388525767708e-02,8.666515896485682546e-02,-7.972489776925287264e-03
-1.498608968873843761e+00,1.106996129771374293e-01,-2.515694652942642578e-02,2.628749441153407571e-02,8.633468098332200413e-02,-8.461208553372819019e-02
-1.498582681379432291e+00,1.107859476581207481e-01,-2.524155861496015299e-02,2.774865426437531091e-02,1.345941925498577441e-01,1.945337684694206759e+00
-1.498554932725167932e+00,1.109205418506706009e-01,-2.329622093026594704e-02,2.800220758386455511e-02,1.348271329137650798e-01,1.617342968163343997e+00
-1.498526930517584121e+00,1.110553689835843683e-01,-2.167887796210260162e-02,2.824776690882873850e-02,1.355559624205474878e-01,1.211844777030352871e+00
