sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.968125870916992426e-04,2.590229851193726063e-04,7.836891454644501209e-04,-7.836890578728918921e-01,9.992163109421271505e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.409615914856181693e-03,8.410472974436974253e-03
2.565384136232751189e-07,7.837094926799181849e-06,3.936251741833984852e-04,5.180459702387452126e-04,1.568141393363475800e-03,-7.836890578728918921e-01,9.984326218842543010e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.082582136347141379e-02,1.681670390978431961e-02
7.558439847343834117e-07,2.351951479795388877e-05,5.904377903789281845e-04,7.770689553581178188e-04,2.353356918320059776e-03,-7.836890578728918921e-01,9.976489328263814516e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.624861301938287581e-02,2.521868764319972270e-02
1.487000076849653851e-06,4.705548781203106046e-05,7.872503483667969704e-04,1.036091940477490425e-03,3.139335662126541138e-03,-7.836890578728918921e-01,9.968652437685086021e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.167798755208270867e-02,3.361641901444936686e-02
2.436222530377563089e-06,7.845321670174598694e-05,9.840629063546657562e-04,1.295114867389202118e-03,3.926077857613563538e-03,-7.836890578728918921e-01,9.960815547106357526e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.711394162702005645e-02,4.200989286591111371e-02
3.592581833800068125e-06,1.177208905573934317e-04,1.180875464342534542e-03,1.554137794300913811e-03,4.713583271950483322e-03,-7.836890578728918921e-01,9.952978656527629031e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.255647190560310988e-02,5.039910404257764293e-02
4.944188276567729190e-06,1.648666948312893510e-04,1.377688022330403328e-03,1.813160721212625504e-03,5.501851905137300491e-03,-7.836890578728918921e-01,9.945141765948900536e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.800557504520117591e-02,5.878404739205964763e-02
6.476284852396929637e-06,2.198987931478768587e-04,1.574500580318272114e-03,2.072183648124337196e-03,6.290884222835302353e-03,-7.836890578728918921e-01,9.937304875370172041e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.346124769914670727e-02,6.716471776458898812e-02
8.177922609320376068e-06,2.828253200277686119e-04,1.771313138306140900e-03,2.331206575036048889e-03,7.080679759383201599e-03,-7.836890578728918921e-01,9.929467984791443547e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.892348651673737031e-02,7.554111001302182826e-02
