# sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.025749512948095798e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.377867221832275391e-01,5.264237988740205765e-04,-5.264237532102130634e-01,9.994735762467897855e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.407452012969028721e-03,8.411864402582651043e-03
-9.536743617033494047e-10,5.264238097879569978e-06,4.025749512948095798e-04,0.000000000000000000e+00,1.136296305048745126e-05,5.489044189453125000e-01,1.030164537951350212e-03,-5.264237532102130634e-01,9.989471524935795710e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.081933148170198186e-02,1.682088102855662515e-02
-9.446940119062219310e-09,1.567951039760373533e-05,4.025749512948095798e-04,0.000000000000000000e+00,3.384361480129882693e-05,5.597821474075317383e-01,1.511955517344176769e-03,-5.264237532102130634e-01,9.984207287403693565e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.623563690644820243e-02,2.522704754759873963e-02
-2.914509877882665023e-08,3.113748971372842789e-05,4.025749512948095798e-04,0.000000000000000000e+00,6.720198143739253283e-05,5.704250335693359375e-01,1.972508616745471954e-03,-5.264237532102130634e-01,9.978943049871591420e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.165636678623050759e-02,3.363036163017564528e-02
-6.651744399732706370e-08,5.153456731932237744e-05,4.025749512948095798e-04,0.000000000000000000e+00,1.112032623495906591e-04,5.808382034301757812e-01,2.412515226751565933e-03,-5.264237532102130634e-01,9.973678812339489275e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.708151961884560158e-02,4.203082094754445608e-02
-1.251177224048660719e-07,7.677168468944728374e-05,4.025749512948095798e-04,0.000000000000000000e+00,1.656177337281405926e-04,5.910266637802124023e-01,2.832646947354078293e-03,-5.264237532102130634e-01,9.968414574807387130e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.251109390086449197e-02,5.042842317175340316e-02
-2.103548553122891462e-07,1.067542252712883055e-04,4.025749512948095798e-04,0.000000000000000000e+00,2.302206121385097504e-04,6.009951233863830566e-01,3.233555937185883522e-03,-5.264237532102130634e-01,9.963150337275284985e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.794508812763289912e-02,5.882316597564249405e-02
-3.266343071572919143e-07,1.413918071193620563e-04,4.025749512948095798e-04,0.000000000000000000e+00,3.047919890377670527e-04,6.107484698295593262e-01,3.615875495597720146e-03,-5.264237532102130634e-01,9.957886099743182839e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.338350079327168290e-02,6.721504703284413018e-02
-4.783139502251287922e-07,1.805982028599828482e-04,4.025749512948095798e-04,0.000000000000000000e+00,3.891166998073458672e-04,6.202912330627441406e-01,3.980220295488834381e-03,-5.264237532102130634e-01,9.952621862211080694e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.882633039067726249e-02,7.560406401778377306e-02
-6.687525910820113495e-07,2.242911723442375660e-04,4.025749512948095798e-04,0.000000000000000000e+00,4.829842073377221823e-04,6.296280622482299805e-01,4.327187780290842056e-03,-5.264237532102130634e-01,9.947357624678978549e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.427357541152202230e-02,8.399021460568058262e-02
-9.022194262797711417e-07,2.723923535086214542e-04,4.025749512948095798e-04,0.000000000000000000e+00,5.861885147169232368e-04,6.387633085250854492e-01,4.657357465475797653e-03,-5.264237532102130634e-01,9.942093387146876404e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.972523434625473526e-02,9.237349647254805562e-02
-1.182942355626437347e-06,3.248270950280129910e-04,4.025749512948095798e-04,0.000000000000000000e+00,6.985281361266970634e-04,6.477014422416687012e-01,4.971291869878768921e-03,-5.264237532102130634e-01,9.936829149614774259e-01,1.000000000000000000e+01,0.000000000000000000e+00,6.518130568410097914e-02,1.007539072951946779e-01
-1.515110056971025188e-06,3.815243835560977459e-04,4.025749512948095798e-04,0.000000000000000000e+00,8.198058349080383778e-04,6.564465761184692383e-01,5.269537679851055145e-03,-5.264237532102130634e-01,9.931564912082672114e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.064178791306356675e-02,1.091314447512245628e-01
-1.900966367429646198e-06,4.424166399985551834e-04,4.025749512948095798e-04,0.000000000000000000e+00,9.498286526650190353e-04,6.650030016899108887e-01,5.552624817937612534e-03,-5.264237532102130634e-01,9.926300674550569969e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.610667951992296232e-02,1.175061065190381032e-01
-2.345580696783144958e-06,5.074397195130586624e-04,4.025749512948095798e-04,0.000000000000000000e+00,1.088407938368618488e-03,6.733746528625488281e-01,5.821068305522203445e-03,-5.264237532102130634e-01,9.921036437018467824e-01,1.000000000000000000e+01,0.000000000000000000e+00,8.157597899023766308e-02,1.258778902778325826e-01
-2.851127646863460541e-06,5.765326786786317825e-04,4.025749512948095798e-04,0.000000000000000000e+00,1.235358882695436478e-03,6.815656423568725586e-01,6.075367797166109085e-03,-5.264237532102130634e-01,9.915772199486365679e-01,1.000000000000000000e+01,0.000000000000000000e+00,8.704968480834468503e-02,1.342467937076028961e-01
-3.421656856517074630e-06,6.496377754956483841e-04,4.025749512948095798e-04,0.000000000000000000e+00,1.390500809065997601e-03,6.895798444747924805e-01,6.316008046269416809e-03,-5.264237532102130634e-01,9.910507961954263534e-01,1.000000000000000000e+01,0.000000000000000000e+00,9.252779545735993760e-02,1.426128144891420924e-01
-4.060234459757339209e-06,7.267002947628498077e-04,4.025749512948095798e-04,0.000000000000000000e+00,1.553656882606446743e-03,6.974210739135742188e-01,6.543459370732307434e-03,-5.264237532102130634e-01,9.905243724422161389e-01,1.000000000000000000e+01,0.000000000000000000e+00,9.801030941917865391e-02,1.509759503040420947e-01
-4.770850864588283002e-06,8.076684316620230675e-04,4.025749512948095798e-04,0.000000000000000000e+00,1.724654226563870907e-03,7.050930261611938477e-01,6.758178584277629852e-03,-5.264237532102130634e-01,9.899979486890059244e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.034972251744757932e-01,1.593361988346942704e-01
-5.556515588978072628e-06,8.924932335503399372e-04,4.025749512948095798e-04,0.000000000000000000e+00,1.903323456645011902e-03,7.125993967056274414e-01,6.960608530789613724e-03,-5.264237532102130634e-01,9.894715249357957099e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.089885412027065126e-01,1.676935577642901798e-01
-6.419259079848416150e-06,9.811284253373742104e-04,4.025749512948095798e-04,0.000000000000000000e+00,2.089499030262231827e-03,7.199437022209167480e-01,7.151179015636444092e-03,-5.264237532102130634e-01,9.889451011825854954e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.144842559821065420e-01,1.760480247768221040e-01
-7.362994438153691590e-06,1.073530525900423527e-03,4.025749512948095798e-04,0.000000000000000000e+00,2.283019013702869415e-03,7.271294593811035156e-01,7.330307271331548691e-03,-5.264237532102130634e-01,9.884186774293752809e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.199843679896926141e-01,1.843995975570837664e-01
-8.389704817091114819e-06,1.169658382423222065e-03,4.025749512948095798e-04,0.000000000000000000e+00,2.483724849298596382e-03,7.341601848602294922e-01,7.498397957533597946e-03,-5.264237532102130634e-01,9.878922536761650663e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.254888757012629086e-01,1.927482737906709431e-01
-9.503259207122027874e-06,1.269473577849566936e-03,4.025749512948095798e-04,0.000000000000000000e+00,2.691461239010095596e-03,7.410390973091125488e-01,7.655843161046504974e-03,-5.264237532102130634e-01,9.873658299229548518e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.309977775913974407e-01,2.010940511639820738e-01
-1.070655162038747221e-05,1.372939790599048138e-03,4.025749512948095798e-04,0.000000000000000000e+00,2.906076610088348389e-03,7.477695941925048828e-01,7.803023792803287506e-03,-5.264237532102130634e-01,9.868394061697446373e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.365110721334585331e-01,2.094369273642189833e-01
-1.200245787913445383e-05,1.480023143813014030e-03,4.025749512948095798e-04,0.000000000000000000e+00,3.127422416582703590e-03,7.543547153472900391e-01,7.940309122204780579e-03,-5.264237532102130634e-01,9.863129824165344228e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.420287577995911765e-01,2.177769000793874365e-01
-1.339383652521064505e-05,1.590691856108605862e-03,4.025749512948095798e-04,0.000000000000000000e+00,3.355353372171521187e-03,7.607977390289306641e-01,8.068057708442211151e-03,-5.264237532102130634e-01,9.857865586633242083e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.475508330607235019e-01,2.261139669982978606e-01
-1.488352791056968272e-05,1.704916474409401417e-03,4.025749512948095798e-04,0.000000000000000000e+00,3.589727450162172318e-03,7.671017050743103027e-01,8.186616003513336182e-03,-5.264237532102130634e-01,9.852601349101139938e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.530772963865671688e-01,2.344481258105658994e-01
-1.647435783524997532e-05,1.822669291868805885e-03,4.025749512948095798e-04,0.000000000000000000e+00,3.830405417829751968e-03,7.732695937156677246e-01,8.296321146190166473e-03,-5.264237532102130634e-01,9.847337111569037793e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.586081462456178093e-01,2.427793742066131077e-01
-1.816913754737470299e-05,1.943924929946660995e-03,4.025749512948095798e-04,0.000000000000000000e+00,4.077251069247722626e-03,7.793043255805969238e-01,8.397499099373817444e-03,-5.264237532102130634e-01,9.842072874036935648e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.641433811051555003e-01,2.511077098776676175e-01
