sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.968125870916992426e-04,2.590229851193726063e-04,-1.193893491290509701e-03,1.193893481377496624e+00,1.001193893481377550e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.392972943148229871e-03,8.421154483470251820e-03
2.517700181670079473e-07,-1.193924344988772646e-05,3.936251741833984852e-04,5.180459702387452126e-04,-2.387023763731122017e-03,1.193893481377496624e+00,1.002387786962755101e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.077588808371955989e-02,1.684874159897418663e-02
7.267507839969766792e-07,-3.581099372240714729e-05,5.904377903789281845e-04,7.770689553581178188e-04,-3.579390933737158775e-03,1.193893481377496624e+00,1.003581680444132651e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.614873774900646430e-02,2.528274933398524590e-02
1.397344703946146183e-06,-7.160847599152475595e-05,7.872503483667969704e-04,1.036091940477490425e-03,-4.770994652062654495e-03,1.193893481377496624e+00,1.004775573925510201e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.151151428064856236e-02,3.372316566682503902e-02
2.234054818472941406e-06,-1.193248535855673254e-04,9.840629063546657562e-04,1.295114867389202118e-03,-5.961835384368896484e-03,1.193893481377496624e+00,1.005969467406887752e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.686421003464352364e-02,4.216997856668048411e-02
3.209299848094815388e-06,-1.789532543625682592e-04,1.180875464342534542e-03,1.554137794300913811e-03,-7.151912897825241089e-03,1.193893481377496624e+00,1.007163360888265302e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.220681738135797861e-02,5.062317599362094189e-02
4.294553036743309349e-06,-2.504867152310907841e-04,1.377688022330403328e-03,1.813160721212625504e-03,-8.341226726770401001e-03,1.193893481377496624e+00,1.008357254369642853e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.753932870553838147e-02,5.908274589861538945e-02
5.460342435981146991e-06,-3.339182585477828979e-04,1.574500580318272114e-03,2.072183648124337196e-03,-9.529776871204376221e-03,1.193893481377496624e+00,1.009551147851020403e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.286173640632187642e-02,6.754867622354959744e-02
6.680064871034119278e-06,-4.292408702895045280e-04,1.771313138306140900e-03,2.331206575036048889e-03,-1.071756333112716675e-02,1.193893481377496624e+00,1.010745041332397953e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.817403289724712240e-02,7.602095490124330390e-02
7.923311386548448354e-06,-5.364473909139633179e-04,2.100739860907196999e-03,2.623329870402812958e-03,-1.190458703786134720e-02,1.193893481377496624e+00,1.011938934813775504e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.347621060626510381e-02,8.449956985546741572e-02
9.197828148899134248e-06,-6.555311265401542187e-04,2.430166583508253098e-03,2.915453165769577026e-03,-1.309033297002315521e-02,1.193893481377496624e+00,1.013132828295153054e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.876826197574993443e-02,9.298450900096125182e-02
1.047417663357919082e-05,-7.864798535592854023e-04,2.759593306109309196e-03,3.207576461136341095e-03,-1.427480019629001617e-02,1.193893481377496624e+00,1.014326721776530604e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.405017946250962657e-02,1.014757602434497308e-01
1.172388601844431832e-05,-9.292812901549041271e-04,3.089020028710365295e-03,3.499699756503105164e-03,-1.545798964798450470e-02,1.193893481377496624e+00,1.015520615257908155e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.932195553779683939e-02,1.099733114796606348e-01
1.291945409320760518e-05,-1.083923154510557652e-03,3.418446751311421394e-03,3.791823051869869232e-03,-1.663990132510662079e-02,1.193893481377496624e+00,1.016714508739285705e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.458358268731961338e-02,1.184771505973418321e-01
1.403243913955520838e-05,-1.250392990186810493e-03,3.747873473912477493e-03,4.083946347236633301e-03,-1.782053336501121521e-02,1.193893481377496624e+00,1.017908402220663255e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.983505341125207710e-02,1.269872654752785823e-01
