px,py,pz,vx,vy,vz
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.000000000000000000e+00
5.004999999999999449e-01,5.004999999999999449e-01,4.989999999999999991e-01,5.028988315664871811e-01,4.980108508667334122e-01,-1.007188208301486698e+00
5.010028988315664566e-01,5.009980108508667040e-01,4.979928117916985197e-01,5.057638818274522441e-01,4.960389105686937583e-01,-1.014355781416637070e+00
5.015086627133938935e-01,5.014940497614354120e-01,4.969784560102818993e-01,5.085954552436917631e-01,4.940840590615252492e-01,-1.021502741434346717e+00
5.020172581686376256e-01,5.019881338204968957e-01,4.959569532688475335e-01,5.113938561412373351e-01,4.921461792468871943e-01,-1.028629110428330273e+00
5.025286520247788102e-01,5.024802799997437619e-01,4.949283241584191972e-01,5.141639014981966849e-01,4.902211504636952988e-01,-1.035737452952854243e+00
5.030428159262769761e-01,5.029705011502074719e-01,4.938925867054663188e-01,5.169067444811114020e-01,4.883080867692373706e-01,-1.042828289383076923e+00
5.035597226707581031e-01,5.034588092369767232e-01,4.928497584160832501e-01,5.196225912098386690e-01,4.864069358606811222e-01,-1.049901613002126366e+00
5.040793452619679593e-01,5.039452161728373847e-01,4.917998568030811368e-01,5.223116470775870379e-01,4.845176448992261076e-01,-1.056957417113300934e+00
5.046016569090455706e-01,5.044297338177365919e-01,4.907428993859678235e-01,5.249741160364693737e-01,4.826401622989731632e-01,-1.063995695993722235e+00
5.051266310250820402e-01,5.049123739800355226e-01,4.896789036899740766e-01,5.276102003608208468e-01,4.807744353411465554e-01,-1.071016442032052263e+00
5.056542412254428909e-01,5.053931484153766363e-01,4.886078872479420188e-01,5.302200996955696022e-01,4.789204123213656183e-01,-1.078019649545646219e+00
5.061844613251385017e-01,5.058720688276979738e-01,4.875298675983963936e-01,5.328040134437038722e-01,4.770780415350834303e-01,-1.085005312870704453e+00
5.067172653385821901e-01,5.063491468692330466e-01,4.864448622855256921e-01,5.353621395743626277e-01,4.752472711584115328e-01,-1.091973426362252253e+00
5.072526274781565814e-01,5.068243941403914876e-01,4.853528888591634449e-01,5.378946731940550396e-01,4.734280499039597023e-01,-1.098923984394118536e+00
5.077905221513506762e-01,5.072978221902953999e-01,4.842539648747693493e-01,5.404018108417822930e-01,4.716203260068944636e-01,-1.105856981358915858e+00
5.083309239621924824e-01,5.077694425163022940e-01,4.831481078934104501e-01,5.428837433344926300e-01,4.698240484176853249e-01,-1.112772411668019101e+00
5.088738077055269260e-01,5.082392665647199603e-01,4.820353354817424330e-01,5.453406617348461882e-01,4.680391659667448856e-01,-1.119670270705219073e+00
5.094191483672617649e-01,5.087073057306866763e-01,4.809156652110372354e-01,5.477727585428641133e-01,4.662656276626415131e-01,-1.126550553871789928e+00
5.099669211258046619e-01,5.091735713583492862e-01,4.797891146571654497e-01,5.501802214950541892e-01,4.645033820958548443e-01,-1.133413256586468965e+00
5.105171013472996622e-01,5.096380747404450906e-01,4.786557014005790034e-01,5.525632378620041196e-01,4.627523786910495707e-01,-1.140258373331762831e+00
5.110696645851616760e-01,5.101008271191361798e-01,4.775154430272472439e-01,5.549219939720264616e-01,4.610125668119564035e-01,-1.147085901469863112e+00
5.116245865791336778e-01,5.105618396859481489e-01,4.763683571257774085e-01,5.572566725896547224e-01,4.592838956422749530e-01,-1.153895835993703267e+00
5.121818432517233344e-01,5.110211235815904640e-01,4.752144612897837295e-01,5.595674574501018350e-01,4.575663153184287846e-01,-1.160688172867895274e+00
5.127414107091734508e-01,5.114786898969089224e-01,4.740537731169158220e-01,5.618545313505313166e-01,4.558597754382456846e-01,-1.167462909027472184e+00
5.133032652405239427e-01,5.119345496723471944e-01,4.728863102078883496e-01,5.641180747206436807e-01,4.541642258961545719e-01,-1.174220040469281967e+00
5.138673833152446191e-01,5.123887138982433642e-01,4.717120901674190514e-01,5.663582639567006360e-01,4.524796159291589182e-01,-1.180959564160556585e+00
5.144337415792012980e-01,5.128411935141725664e-01,4.705311306032585184e-01,5.685752795328750109e-01,4.508058961442811818e-01,-1.187681476607142628e+00
5.150023168587342104e-01,5.132919994103168904e-01,4.693434491266513797e-01,5.707692966975167481e-01,4.491430166690732473e-01,-1.194385774807777079e+00
5.155730861554317368e-01,5.137411424269859861e-01,4.681490633518435862e-01,5.729404897713537004e-01,4.474909282251547937e-01,-1.201072455776612369e+00
5.161460266452030377e-01,5.141886333552111443e-01,4.669479908960669778e-01,5.750890331022558977e-01,4.458495807565678315e-01,-1.207741517020035626e+00
5.167211156783052539e-01,5.146344829359676964e-01,4.657402493790469555e-01,5.772150984424816444e-01,4.442189249805392759e-01,-1.214392956536031409e+00
5.172983307767476946e-01,5.150787018609482848e-01,4.645258564225109299e-01,5.793188573361194305e-01,4.425989116712540361e-01,-1.221026771383033838e+00
5.178776496340837809e-01,5.155213007726194840e-01,4.633048296511279029e-01,5.814004784966411155e-01,4.409894918982319445e-01,-1.227642959111658660e+00
5.184590501125804218e-01,5.159622902645176756e-01,4.620771866920162507e-01,5.834601316251624148e-01,4.393906166683486658e-01,-1.234241518240904112e+00
5.190425102442055572e-01,5.164016808811859871e-01,4.608429451737753313e-01,5.854979828790969343e-01,4.378022365683210682e-01,-1.240822447303220111e+00
5.196280082270846590e-01,5.168394831177542947e-01,4.596021227264721065e-01,5.875141974992504901e-01,4.362243032554009581e-01,-1.247385744367655702e+00
5.202155224245839094e-01,5.172757074210097006e-01,4.583547369821044382e-01,5.895089419566695854e-01,4.346567680851107229e-01,-1.253931407517297592e+00
5.208050313665405495e-01,5.177103641890947738e-01,4.571008055745871546e-01,5.914823779904715417e-01,4.330995830653408540e-01,-1.260459436279765200e+00
5.213965137445309983e-01,5.181434637721601399e-01,4.558403461383073729e-01,5.934346688127624114e-01,4.315526991866049378e-01,-1.266969828764314077e+00
5.219899484133437850e-01,5.185750164713467392e-01,4.545733763095430313e-01,5.953659745766656242e-01,4.300160682115311550e-01,-1.273462584047862389e+00
5.225853143879204410e-01,5.190050325395583197e-01,4.532999137254951627e-01,5.972764545259536817e-01,4.284896423758685624e-01,-1.279937701696899577e+00
5.231825908424464489e-01,5.194335221819341708e-01,4.520199760237982867e-01,5.991662674729616445e-01,4.269733740302766867e-01,-1.286395180336339594e+00
5.237817571099193659e-01,5.198604955559644747e-01,4.507335808434619340e-01,6.010355720374612742e-01,4.254672151037657279e-01,-1.292835020511766020e+00
5.243827926819568663e-01,5.202859627710682000e-01,4.494407458229501828e-01,6.028845228321100258e-01,4.239711177599261305e-01,-1.299257220395406032e+00
5.249856772047889475e-01,5.207099338888281359e-01,4.481414886025547606e-01,6.047132754743400618e-01,4.224850349330974697e-01,-1.305661781034419100e+00
5.255903904802632365e-01,5.211324189237612758e-01,4.468358268215203433e-01,6.065219844391851467e-01,4.210089190160966610e-01,-1.312048702055631733e+00
5.261969124647024598e-01,5.215534278427773618e-01,4.455237781194646973e-01,6.083115245152824757e-01,4.195431338482565886e-01,-1.318417855782371140e+00
5.268052239892176969e-01,5.219729709766256498e-01,4.442053602636823473e-01,6.100832116351129208e-01,4.180882954541106922e-01,-1.324769035560295016e+00
5.274153072008528342e-01,5.223910592720797386e-01,4.428805912281220669e-01,6.118371581671741000e-01,4.166443352075663853e-01,-1.331102248161189605e+00
