px,py,pz,vx,vy,vz,phi,theta,psi
1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000999999999999890e+00,1.000999999999999890e+00,-9.989999999999999991e-01,9.922680478038610197e-01,1.004177591600436070e+00,1.007127599280970731e+00,9.915039899770469178e-01,9.871305241690908616e-01,1.002198326506633874e+00
1.001992268047803725e+00,1.002004177591600431e+00,-9.979928724007189889e-01,9.845463245913511630e-01,1.008445179509962264e+00,1.014145924673969912e+00,9.829616691064979594e-01,9.740931843565360237e-01,1.004518467601791309e+00
1.002976814372395165e+00,1.003012622771110474e+00,-9.969787264760450185e-01,9.768370086034814381e-01,1.012803113156636403e+00,1.021051692642270137e+00,9.743668400743604741e-01,9.608846418778903553e-01,1.006964601271103987e+00
1.003953651380998568e+00,1.004025425884267131e+00,-9.959576747834028021e-01,9.691424095722857013e-01,1.017251662953731595e+00,1.027841537080372625e+00,9.657129112030760076e-01,9.475014932236861531e-01,1.009541032451198639e+00
1.004922793790570923e+00,1.005042677547220764e+00,-9.949298332463224481e-01,9.614649770918112237e-01,1.021791009504305903e+00,1.034512008841730557e+00,9.569928648743012412e-01,9.339402939712040386e-01,1.012252184472160366e+00
1.005884258767662631e+00,1.006064468556725044e+00,-9.938953212374807000e-01,9.538073085331402190e-01,1.026421231925518152e+00,1.041059575490227429e+00,9.481992235829880267e-01,9.201975879774412226e-01,1.015102587178147608e+00
1.006838066076195748e+00,1.007090889788650578e+00,-9.928542616619904226e-01,9.461721573789368955e-01,1.031142294647363178e+00,1.047480621719737215e+00,9.393240137494082154e-01,9.062699431879417400e-01,1.018096860933495051e+00
1.007784238233574658e+00,1.008122032083297981e+00,-9.918067810402706463e-01,9.385624407603926356e-01,1.035954033254470774e+00,1.053771450056224301e+00,9.303587272559075139e-01,8.921539955509968367e-01,1.021239695525370861e+00
1.008722800674334952e+00,1.009157986116552497e+00,-9.907530095902143952e-01,9.309812464221044470e-01,1.040856139094856081e+00,1.059928282031320945e+00,9.212942807891705277e-01,8.778465020440644473e-01,1.024535823073617902e+00
1.009653781920757165e+00,1.010198842255647378e+00,-9.896930813081831202e-01,9.234318391093371270e-01,1.045848142485639398e+00,1.065947259960847271e+00,9.121209736317799077e-01,8.633444048690236405e-01,1.027989983691675047e+00
1.010577213759866533e+00,1.011244690398132917e+00,-9.886271340482222225e-01,9.159176655395305788e-01,1.050929394873148404e+00,1.071824449075607033e+00,9.028284438710442172e-01,8.486449086521518081e-01,1.031606882391639113e+00
1.011493131425406089e+00,1.012295619793005974e+00,-9.875553095991466135e-01,9.084423580697517098e-01,1.056099049697940107e+00,1.077555840195677295e+00,8.934056243758951021e-01,8.337455729260432324e-01,1.035391135737902868e+00
1.012401573783475950e+00,1.013351718842703919e+00,-9.864777537589509704e-01,9.010097362852310665e-01,1.061356042293463586e+00,1.083137352713697821e+00,8.838406992571319343e-01,8.186444223377349338e-01,1.039347206317372763e+00
1.013302583519761102e+00,1.014413074884997323e+00,-9.853946164062372670e-01,8.936238062619580313e-01,1.066699068807556161e+00,1.088564837907680660e+00,8.741210623764192889e-01,8.033400775234462721e-01,1.043479322869045767e+00
