sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.465078305453062057e-03,-2.337715122848749161e-03,0.000000000000000000e+00,-1.464810571633279324e-03,-9.136890002992004156e-05,6.950891256233626692e-02,1.000069508912562410e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.402438148298477523e-03,8.415085386008231555e-03
-2.337455953238531947e-06,-9.134754463957506232e-07,6.930156610906124115e-03,-4.675430245697498322e-03,-1.464810679863148835e-06,-2.577497158199548721e-03,-1.335150154773145914e-04,6.950891256233626692e-02,1.000139017825124821e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.080429136011221494e-02,1.683054626928833994e-02
-7.013384674792177975e-06,-2.262479938508477062e-06,1.039523445069789886e-02,-7.013145368546247482e-03,-4.042307864438043907e-06,-3.346414538100361824e-03,-1.279377029277384281e-04,6.950891256233626692e-02,1.000208526737687231e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.620555960934221690e-02,2.524638260918111651e-02
-1.402686393703334033e-05,-3.580866859920206480e-06,1.386031322181224823e-02,-9.350860491394996643e-03,-7.388722224277444184e-06,-3.779717255383729935e-03,-7.609397289343178272e-05,6.950891256233626692e-02,1.000278035650249642e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.160624286989231910e-02,3.366259436502554159e-02
-2.337789010198321193e-05,-4.413938313518883660e-06,1.732539199292659760e-02,-1.168857514858245850e-02,-1.116843941417755559e-05,-3.885364858433604240e-03,2.060038241324946284e-05,6.950891256233626692e-02,1.000347544562812052e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.700634111566917878e-02,4.207918149615878789e-02
-3.506643042783252895e-05,-4.318103947298368439e-06,2.079047076404094696e-02,-1.402628980576992035e-02,-1.505380441813031211e-05,-3.671126905828714371e-03,1.607697340659797192e-04,6.950891256233626692e-02,1.000417053475374463e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.240585432058228077e-02,5.049614396191619975e-02
-4.909337440039962530e-05,-2.860551376215880737e-06,2.425554953515529633e-02,-1.636400446295738220e-02,-1.872493157861754298e-05,-3.144587855786085129e-03,3.430774377193301916e-04,6.950891256233626692e-02,1.000486562387936873e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.780478245854393404e-02,5.891348172163131391e-02
-6.545862561324611306e-05,3.810782800428569317e-07,2.772062830626964569e-02,-1.870171912014484406e-02,-2.186952042393386364e-05,-2.313150558620691299e-03,5.662248586304485798e-04,6.950891256233626692e-02,1.000556071300499283e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.320312550346927516e-02,6.733119473463586302e-02
-8.416110358666628599e-05,5.819001671625301242e-06,3.118570707738399506e-02,-2.103943377733230591e-02,-2.418267104076221585e-05,-1.184041495434939861e-03,8.289502002298831940e-04,6.950891256233626692e-02,1.000625580213061694e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.860088342927627869e-02,7.574928296025976171e-02
-1.052025691024027765e-04,1.385559517075307667e-05,2.645681798458099365e-02,-1.917750947177410126e-02,-2.536671308916993439e-05,-2.806831616908311844e-04,1.100328518077731133e-03,6.950891256233626692e-02,1.000695089125624104e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.399805620988572946e-02,8.416774635783109970e-02
-1.243847655132412910e-04,2.459190909576136619e-05,2.172792889177799225e-02,-1.731558516621589661e-02,-2.564739588706288487e-05,2.438026713207364082e-04,1.313512912020087242e-03,6.950891256233626692e-02,1.000764598038186515e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.939464381922125030e-02,9.258658488667617648e-02
-1.417075109202414751e-04,3.745690628420561552e-05,1.699903979897499084e-02,-1.545366086065769196e-02,-2.540359309932682663e-05,3.968809323851019144e-04,1.470061833970248699e-03,6.950891256233626692e-02,1.000834106950748925e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.479064623120928124e-02,1.010057985061194596e-01
