$x$,$y$,L,Parameters,R,Simulation,V,h,t
-4.0,4.0,0.14,"R = 0.0325, L = 0.14",0.0325,0,32.27156448364258,-0.42961299419403076,0.0
-3.9800000190734863,4.0,0.14,"R = 0.0325, L = 0.14",0.0325,0,32.08481979370117,-0.4305068254470825,0.01
-3.9600653648376465,3.9983861446380615,0.14,"R = 0.0325, L = 0.14",0.0325,0,31.887306213378906,-0.43178924918174744,0.02
-3.9403257369995117,3.995168924331665,0.14,"R = 0.0325, L = 0.14",0.0325,0,31.681650161743164,-0.43345656991004944,0.03
-3.920910120010376,3.9903693199157715,0.14,"R = 0.0325, L = 0.14",0.0325,0,31.469266891479492,-0.4355033040046692,0.04
-3.901945114135742,3.984018564224243,0.14,"R = 0.0325, L = 0.14",0.0325,0,31.251583099365234,-0.4379209280014038,0.05
-3.883554458618164,3.9761581420898438,0.14,"R = 0.0325, L = 0.14",0.0325,0,31.031173706054688,-0.44069865345954895,0.06
-3.8658580780029297,3.96683931350708,0.14,"R = 0.0325, L = 0.14",0.0325,0,30.80828094482422,-0.4438238739967346,0.07
-3.8489716053009033,3.956122875213623,0.14,"R = 0.0325, L = 0.14",0.0325,0,30.58445167541504,-0.44728076457977295,0.08
-3.833004951477051,3.9440786838531494,0.14,"R = 0.0325, L = 0.14",0.0325,0,30.361143112182617,-0.45105189085006714,0.09
-3.8180623054504395,3.9307851791381836,0.14,"R = 0.0325, L = 0.14",0.0325,0,30.139610290527344,-0.45510560274124146,0.1
-3.8042409420013428,3.9163293838500977,0.14,"R = 0.0325, L = 0.14",0.0325,0,29.91992950439453,-0.45864421129226685,0.11
-3.790419578552246,3.9018735885620117,0.14,"R = 0.0325, L = 0.14",0.0325,0,29.701047897338867,-0.46218276023864746,0.12
-3.7765982151031494,3.887417793273926,0.14,"R = 0.0325, L = 0.14",0.0325,0,29.482969284057617,-0.4657213091850281,0.13
-3.7627768516540527,3.87296199798584,0.14,"R = 0.0325, L = 0.14",0.0325,0,29.265714645385742,-0.4692598879337311,0.14
