$x$,$y$,Goal region,QP relaxation,Safe region,Unsafe region,V
-2.0,-2.0,0.0,1.989547382457853e-16,0.0,1.0,4.625146389007568
-2.0,-1.9183673858642578,0.0,4.544690162835128e-16,0.0,1.0,4.542232513427734
-2.0,-1.836734652519226,0.0,9.393674794388996e-16,0.0,1.0,4.460510730743408
-2.0,-1.7551020383834839,0.0,1.7740166991252236e-15,0.0,1.0,4.3801069259643555
-2.0,-1.6734694242477417,0.0,3.067553111887498e-15,0.0,1.0,4.301148891448975
-2.0,-1.59183669090271,0.0,4.929836391367516e-18,0.0,1.0,4.223764896392822
-2.0,-1.5102040767669678,0.0,1.0369507207643316e-17,0.0,1.0,4.14808988571167
-2.0,-1.4285714626312256,0.0,5.268903597435351e-17,0.0,1.0,4.074257850646973
-2.0,-1.3469388484954834,0.0,2.0881833103744322e-16,0.0,1.0,4.002406120300293
-2.0,-1.2653062343597412,0.0,6.245794901135412e-16,0.0,1.0,3.932673692703247
-2.0,-1.1836735010147095,0.0,6.7264867439031054e-18,0.0,1.0,3.8651981353759766
-2.0,-1.1020408868789673,0.0,1.1655013212052582e-16,0.0,1.0,3.8001179695129395
-2.0,-1.020408272743225,0.0,2.5097944098565134e-15,0.0,1.0,3.7375714778900146
-2.0,-0.9387755990028381,0.0,1.6448251164276296e-15,0.0,1.0,3.67769455909729
-2.0,-0.8571429252624512,0.0,3.91302156281844e-17,0.0,1.0,3.620621681213379
-2.0,-0.775510311126709,0.0,3.7275417787308785e-18,0.0,1.0,3.5664830207824707
-2.0,-0.6938775777816772,0.0,8.202313954350758e-16,0.0,1.0,3.515406370162964
-2.0,-0.6122449040412903,0.0,4.480990638223645e-16,0.0,1.0,3.467512845993042
-2.0,-0.5306122899055481,0.0,3.1243241716882376e-16,0.0,1.0,3.422919750213623
-2.0,-0.44897961616516113,0.0,3.4587997478066276e-16,0.0,1.0,3.381737232208252
-2.0,-0.36734697222709656,0.0,3.3969917536454813e-16,0.0,1.0,3.3440680503845215
-2.0,-0.285714328289032,0.0,4.001076593385935e-16,0.0,1.0,3.3100075721740723
-2.0,-0.20408165454864502,0.0,1.6639018865865726e-15,0.0,1.0,3.279642343521118
-2.0,-0.12244904041290283,0.0,1.7185436908463719e-16,0.0,1.0,3.253049612045288
-2.0,-0.04081636667251587,0.0,3.018052241752161e-16,0.0,1.0,3.2302963733673096
-2.0,0.0408162847161293,0.0,1.2367343833194011e-15,0.0,1.0,3.211439371109009
-2.0,0.12244893610477448,0.0,3.801011133557226e-18,0.0,1.0,3.196523666381836
-2.0,0.20408159494400024,0.0,4.973087134425239e-16,0.0,1.0,3.1855852603912354
-2.0,0.2857142388820648,0.0,5.036894655737498e-16,0.0,1.0,3.178645610809326
-2.0,0.3673468828201294,0.0,5.32123408701011e-16,0.0,1.0,3.175717353820801
-2.0,0.44897955656051636,0.0,5.85210086939431e-16,0.0,1.0,3.176798105239868
-2.0,0.5306121706962585,0.0,6.692420021750436e-16,0.0,1.0,3.181877374649048
-2.0,0.6122449040412903,0.0,7.91975593924534e-16,0.0,1.0,3.190930128097534
-2.0,0.6938775777816772,0.0,9.654193541602449e-16,0.0,1.0,3.2039201259613037
-2.0,0.7755101919174194,0.0,1.2066705370433859e-15,0.0,1.0,3.220801830291748
-2.0,0.8571428656578064,0.0,1.5870841509627249e-15,0.0,1.0,3.2415168285369873
-2.0,0.9387755393981934,0.0,2.140467080788194e-15,0.0,1.0,3.2659971714019775
-2.0,1.0204081535339355,0.0,3.620719757143842e-17,0.0,1.0,3.29416561126709
-2.0,1.1020407676696777,0.0,6.690853540193607e-17,0.0,1.0,3.3259353637695312
-2.0,1.18367338180542,0.0,1.315390021620113e-16,0.0,1.0,3.361210823059082
-2.0,1.2653061151504517,0.0,2.65791924356805e-16,0.0,1.0,3.399888515472412
-2.0,1.3469387292861938,0.0,1.5268202978644231e-16,0.0,1.0,3.4418582916259766
-2.0,1.4285714626312256,0.0,4.15916867554605e-16,0.0,1.0,3.4870033264160156
-2.0,1.5102040767669678,0.0,1.630037152013321e-17,0.0,1.0,3.5352025032043457
-2.0,1.59183669090271,0.0,2.0783920065508665e-16,0.0,1.0,3.58632755279541
-2.0,1.6734693050384521,0.0,3.89570767998097e-17,0.0,1.0,3.6402478218078613
-2.0,1.7551020383834839,0.0,3.95282430275441e-16,0.0,1.0,3.6968307495117188
-2.0,1.836734652519226,0.0,7.987876711143695e-17,0.0,1.0,3.7559385299682617
-2.0,1.9183673858642578,0.0,9.196183768780735e-18,0.0,1.0,3.8174333572387695
-2.0,2.0,0.0,1.748654732739417e-15,0.0,1.0,3.881175994873047
-1.9183673858642578,-2.0,0.0,1.4336342328700373e-16,0.0,1.0,4.460606098175049
-1.9183673858642578,-1.9183673858642578,0.0,3.40302077534536e-16,0.0,1.0,4.374866008758545
-1.9183673858642578,-1.836734652519226,0.0,7.288171645476683e-16,0.0,1.0,4.290367603302002
-1.9183673858642578,-1.7551020383834839,0.0,1.42285017996251e-15,0.0,1.0,4.207240104675293
-1.9183673858642578,-1.6734694242477417,0.0,2.5460050683516347e-15,0.0,1.0,4.125617980957031
-1.9183673858642578,-1.59183669090271,0.0,4.160793972953153e-15,0.0,1.0,4.045638561248779
-1.9183673858642578,-1.5102040767669678,0.0,6.751265766332744e-18,0.0,1.0,3.9674410820007324
-1.9183673858642578,-1.4285714626312256,0.0,3.27899655684716e-17,0.0,1.0,3.8911683559417725
-1.9183673858642578,-1.3469388484954834,0.0,1.422772226461583e-16,0.0,1.0,3.8169634342193604
-1.9183673858642578,-1.2653062343597412,0.0,4.691525971219621e-16,0.0,1.0,3.7449707984924316
-1.9183673858642578,-1.1836735010147095,0.0,2.588960959571291e-18,0.0,1.0,3.6753358840942383
-1.9183673858642578,-1.1020408868789673,0.0,6.217710862024706e-17,0.0,1.0,3.608203649520874
-1.9183673858642578,-1.020408272743225,0.0,1.960105542915253e-17,0.0,1.0,3.5437183380126953
-1.9183673858642578,-0.9387755990028381,0.0,7.750272885218656e-18,0.0,1.0,3.4820220470428467
-1.9183673858642578,-0.8571429252624512,0.0,6.237051006490686e-17,0.0,1.0,3.4232544898986816
-1.9183673858642578,-0.775510311126709,0.0,6.5533528786120814e-18,0.0,1.0,3.3675520420074463
-1.9183673858642578,-0.6938775777816772,0.0,9.328109150315593e-16,0.0,1.0,3.3150463104248047
-1.9183673858642578,-0.6122449040412903,0.0,5.31369390559277e-16,0.0,1.0,3.265864372253418
-1.9183673858642578,-0.5306122899055481,0.0,2.8744920685933777e-16,0.0,1.0,3.220127582550049
-1.9183673858642578,-0.44897961616516113,0.0,3.5204753930697654e-16,0.0,1.0,3.177949905395508
-1.9183673858642578,-0.36734697222709656,0.0,3.4395466889155374e-16,0.0,1.0,3.139437437057495
-1.9183673858642578,-0.285714328289032,0.0,3.943949515049553e-16,0.0,1.0,3.1046879291534424
-1.9183673858642578,-0.20408165454864502,0.0,1.3511579465816164e-15,0.0,1.0,3.073791027069092
-1.9183673858642578,-0.12244904041290283,0.0,1.8330338256042854e-16,0.0,1.0,3.0468244552612305
-1.9183673858642578,-0.04081636667251587,0.0,3.2700183384785095e-16,0.0,1.0,3.0238571166992188
-1.9183673858642578,0.0408162847161293,0.0,1.4086342142505042e-15,0.0,1.0,3.00494647026062
-1.9183673858642578,0.12244893610477448,0.0,3.879665670053362e-18,0.0,1.0,2.990137815475464
-1.9183673858642578,0.20408159494400024,0.0,5.427940650727246e-16,0.0,1.0,2.9794652462005615
-1.9183673858642578,0.2857142388820648,0.0,5.512359130624162e-16,0.0,1.0,2.9729504585266113
-1.9183673858642578,0.3673468828201294,0.0,5.842317109457931e-16,0.0,1.0,2.970602512359619
-1.9183673858642578,0.44897955656051636,0.0,6.448592588158221e-16,0.0,1.0,2.972419261932373
-1.9183673858642578,0.5306121706962585,0.0,7.40310819306758e-16,0.0,1.0,2.978384494781494
-1.9183673858642578,0.6122449040412903,0.0,8.793799708396396e-16,0.0,1.0,2.988471031188965
-1.9183673858642578,0.6938775777816772,0.0,1.0754356991187776e-15,0.0,1.0,3.0026395320892334
-1.9183673858642578,0.7755101919174194,0.0,1.3464508786146059e-15,0.0,1.0,3.020838975906372
-1.9183673858642578,0.8571428656578064,0.0,1.7552998120897454e-15,0.0,1.0,3.0430068969726562
-1.9183673858642578,0.9387755393981934,0.0,2.416374722587363e-15,0.0,1.0,3.0690698623657227
-1.9183673858642578,1.0204081535339355,0.0,4.1612210760819164e-17,0.0,1.0,3.098945140838623
-1.9183673858642578,1.1020407676696777,0.0,8.017530143486986e-17,0.0,1.0,3.132540702819824
-1.9183673858642578,1.18367338180542,0.0,1.633469951555416e-16,0.0,1.0,3.169755220413208
-1.9183673858642578,1.2653061151504517,0.0,3.361435163404318e-16,0.0,1.0,3.2104785442352295
-1.9183673858642578,1.3469387292861938,0.0,2.304223960480868e-16,0.0,1.0,3.254594564437866
-1.9183673858642578,1.4285714626312256,0.0,1.950464249950135e-15,0.0,1.0,3.3019814491271973
-1.9183673858642578,1.5102040767669678,0.0,7.602399296037653e-17,0.0,1.0,3.352508783340454
-1.9183673858642578,1.59183669090271,0.0,8.275094168465175e-18,0.0,1.0,3.4060447216033936
-1.9183673858642578,1.6734693050384521,0.0,6.594894716155107e-18,0.0,1.0,3.462451934814453
-1.9183673858642578,1.7551020383834839,0.0,2.0571603316345494e-16,0.0,1.0,3.521589994430542
-1.9183673858642578,1.836734652519226,0.0,3.367954868643563e-17,0.0,1.0,3.5833160877227783
-1.9183673858642578,1.9183673858642578,0.0,3.0525559882378606e-18,0.0,1.0,3.6474862098693848
-1.9183673858642578,2.0,0.0,1.2734176861990904e-15,0.0,1.0,3.7139549255371094
-1.836734652519226,-2.0,0.0,9.763801722559523e-17,0.0,1.0,4.297266483306885
-1.836734652519226,-1.9183673858642578,0.0,2.426302054608302e-16,0.0,1.0,4.20871639251709
-1.836734652519226,-1.836734652519226,0.0,5.415311389483685e-16,0.0,1.0,4.121455192565918
-1.836734652519226,-1.7551020383834839,0.0,1.098354081330874e-15,0.0,1.0,4.035621643066406
-1.836734652519226,-1.6734694242477417,0.0,2.0395835509460754e-15,0.0,1.0,3.9513559341430664
-1.836734652519226,-1.59183669090271,0.0,3.450011992737101e-15,0.0,1.0,3.868802070617676
-1.836734652519226,-1.5102040767669678,0.0,5.592103245966765e-18,0.0,1.0,3.7881064414978027
-1.836734652519226,-1.4285714626312256,0.0,1.8636696838174934e-17,0.0,1.0,3.7094180583953857
-1.836734652519226,-1.3469388484954834,0.0,8.954676146672813e-17,0.0,1.0,3.632887125015259
-1.836734652519226,-1.2653062343597412,0.0,3.2918379071997803e-16,0.0,1.0,3.5586655139923096
-1.836734652519226,-1.1836735010147095,0.0,9.424333151914865e-16,0.0,1.0,3.486905097961426
-1.836734652519226,-1.1020408868789673,0.0,2.789059465265472e-17,0.0,1.0,3.4177567958831787
-1.836734652519226,-1.020408272743225,0.0,3.3350524693775106e-15,0.0,1.0,3.3513712882995605
-1.836734652519226,-0.9387755990028381,0.0,1.5835131394664395e-16,0.0,1.0,3.2878968715667725
-1.836734652519226,-0.8571429252624512,0.0,1.0280010070395896e-16,0.0,1.0,3.2274789810180664
-1.836734652519226,-0.775510311126709,0.0,1.212642393945492e-17,0.0,1.0,3.1702592372894287
-1.836734652519226,-0.6938775777816772,0.0,1.0539342971483193e-15,0.0,1.0,3.116374969482422
-1.836734652519226,-0.6122449040412903,0.0,6.246224770356144e-16,0.0,1.0,3.065957546234131
