$x$,$y$,L,Parameters,R,Simulation,t
0.9625743627548218,-0.8581260442733765,14.0,"R = 3.25, L = 14",3.25,3.0,0.14
0.9569917321205139,0.8473964333534241,14.0,"R = 3.25, L = 14",3.25,0.0,0.15
-0.9569916725158691,0.8473964333534241,14.0,"R = 3.25, L = 14",3.25,1.0,0.15
-0.9569917321205139,-0.8473964333534241,14.0,"R = 3.25, L = 14",3.25,2.0,0.15
0.9569916725158691,-0.8473964333534241,14.0,"R = 3.25, L = 14",3.25,3.0,0.15
0.9511768817901611,0.8367908596992493,14.0,"R = 3.25, L = 14",3.25,0.0,0.16
-0.9511768221855164,0.8367908596992493,14.0,"R = 3.25, L = 14",3.25,1.0,0.16
-0.9511768817901611,-0.8367908596992493,14.0,"R = 3.25, L = 14",3.25,2.0,0.16
0.9511768221855164,-0.8367908596992493,14.0,"R = 3.25, L = 14",3.25,3.0,0.16
0.9451325535774231,0.826314389705658,14.0,"R = 3.25, L = 14",3.25,0.0,0.17
-0.9451324939727783,0.826314389705658,14.0,"R = 3.25, L = 14",3.25,1.0,0.17
-0.9451325535774231,-0.826314389705658,14.0,"R = 3.25, L = 14",3.25,2.0,0.17
0.9451324939727783,-0.826314389705658,14.0,"R = 3.25, L = 14",3.25,3.0,0.17
0.9388616681098938,0.8159719109535217,14.0,"R = 3.25, L = 14",3.25,0.0,0.18
-0.938861608505249,0.8159719109535217,14.0,"R = 3.25, L = 14",3.25,1.0,0.18
-0.9388616681098938,-0.8159719109535217,14.0,"R = 3.25, L = 14",3.25,2.0,0.18
0.938861608505249,-0.8159719109535217,14.0,"R = 3.25, L = 14",3.25,3.0,0.18
0.932367205619812,0.8057683706283569,14.0,"R = 3.25, L = 14",3.25,0.0,0.19
-0.9323671460151672,0.8057683706283569,14.0,"R = 3.25, L = 14",3.25,1.0,0.19
-0.932367205619812,-0.8057683706283569,14.0,"R = 3.25, L = 14",3.25,2.0,0.19
0.9323671460151672,-0.8057683706283569,14.0,"R = 3.25, L = 14",3.25,3.0,0.19
0.9256522059440613,0.7957085967063904,14.0,"R = 3.25, L = 14",3.25,0.0,0.2
-0.9256521463394165,0.7957085967063904,14.0,"R = 3.25, L = 14",3.25,1.0,0.2
-0.9256522059440613,-0.7957085967063904,14.0,"R = 3.25, L = 14",3.25,2.0,0.2
0.9256521463394165,-0.7957085967063904,14.0,"R = 3.25, L = 14",3.25,3.0,0.2
0.9188741445541382,0.7860179543495178,14.0,"R = 3.25, L = 14",3.25,0.0,0.21
-0.9188740849494934,0.7860179543495178,14.0,"R = 3.25, L = 14",3.25,1.0,0.21
-0.9188741445541382,-0.7860179543495178,14.0,"R = 3.25, L = 14",3.25,2.0,0.21
0.9188740849494934,-0.7860179543495178,14.0,"R = 3.25, L = 14",3.25,3.0,0.21
0.9119753241539001,0.7764129042625427,14.0,"R = 3.25, L = 14",3.25,0.0,0.22
-0.9119752645492554,0.7764129042625427,14.0,"R = 3.25, L = 14",3.25,1.0,0.22
-0.9119753241539001,-0.7764129042625427,14.0,"R = 3.25, L = 14",3.25,2.0,0.22
0.9119752645492554,-0.7764129042625427,14.0,"R = 3.25, L = 14",3.25,3.0,0.22
0.9049567580223083,0.7668949961662292,14.0,"R = 3.25, L = 14",3.25,0.0,0.23
-0.9049566984176636,0.7668949961662292,14.0,"R = 3.25, L = 14",3.25,1.0,0.23
