Wall time,Step,Value
1630440062.0003128,140,0.11560364067554474
1630440304.6705742,281,0.028154687955975533
1630440549.084318,422,0.01752099022269249
1630440792.1469798,563,0.01262593176215887
1630441037.0440147,704,0.010389258153736591
1630441282.0121806,845,0.00896410457789898
1630441524.9181166,986,0.007609468884766102
1630441771.296681,1127,0.006926533300429583
1630442016.721511,1268,0.006594879552721977
1630442260.1446817,1409,0.005793506279587746
1630442506.0545287,1550,0.005651579238474369
1630442856.226205,1832,0.006213064771145582
1630443206.9447596,2114,0.00512563344091177
1630443557.2692947,2396,0.004328858572989702
1630443905.3837726,2678,0.004579902160912752
1630444256.8110003,2960,0.0040200562216341496
1630444608.0817814,3242,0.003414873732253909
1630444959.3634117,3524,0.004093279596418142
1630445311.3050416,3806,0.0034006244968622923
1630445662.193374,4088,0.003233908209949732
1630446015.1194823,4370,0.0036683455109596252
1630446379.1301334,4652,0.002793105784803629
1630446731.5877643,4934,0.0023855550680309534
1630447087.6322508,5216,0.0024950001388788223
1630447442.7620564,5498,0.0023525513242930174
1630447801.138739,5780,0.00257265567779541
1630448156.2250364,6062,0.002528364071622491
1630448513.6730716,6344,0.0024963882751762867
1630448867.7580926,6626,0.002348150359466672
1630449223.5813577,6908,0.002161479787901044
1630449578.7027917,7190,0.002033340511843562
1630449942.1593163,7472,0.0025397641584277153
1630450300.9823942,7754,0.002258233493193984
1630450656.0613372,8036,0.0024160025641322136
1630451009.4953065,8318,0.002303652698174119
1630451363.9448688,8600,0.0029761537443846464
1630451719.9005427,8882,0.0023984152358025312
1630452078.1436455,9164,0.00200735405087471
1630452434.1788669,9446,0.002033133991062641
1630452790.8743405,9728,0.0021035722456872463
1630453148.9921815,10010,0.0019496780587360263
1630453517.1815808,10292,0.00237772217951715
1630453875.4378374,10574,0.00233253906480968
1630454232.8207452,10856,0.0020994646474719048
1630454592.0760136,11138,0.002284078858792782
1630454946.4842849,11420,0.002265386749058962
1630455299.7806532,11702,0.0022399735171347857
1630455654.498692,11984,0.00208954862318933
1630456008.3359523,12266,0.0023161624558269978
1630456363.544889,12548,0.0019904666114598513
1630456717.3570576,12830,0.002012326382100582
1630457083.6837962,13112,0.00268310378305614
1630457438.7614734,13394,0.002853569807484746
1630457795.7983756,13676,0.0028368523344397545
1630458149.9870825,13958,0.0026491612661629915
1630458508.115298,14240,0.0027056715916842222
1630458862.8999324,14522,0.0026452532038092613
1630459219.463607,14804,0.0027511445805430412
1630459573.4349434,15086,0.0025328088086098433
1630459934.1496937,15368,0.002708714222535491
1630460304.9025836,15650,0.0024172335397452116
1630460681.2874455,15932,0.0018862568540498614
1630461048.2897213,16214,0.0021701829973608255
1630461410.816576,16496,0.0020704965572804213
1630461790.0629163,16778,0.0021090630907565355
1630462162.693647,17060,0.0020772884599864483
1630462534.9839518,17342,0.002092834794893861
1630462902.5444303,17624,0.0019861310720443726
1630463275.0067759,17906,0.0018913300009444356
1630463645.4327316,18188,0.0019281202694401145
1630464008.4520025,18470,0.0018261849181726575
1630464376.3656118,18752,0.0022126503754407167
1630464735.588855,19034,0.0020836738403886557
1630465095.0203407,19316,0.0018784917192533612
1630465455.439518,19598,0.0016247950261458755
1630465810.247874,19880,0.0023783771321177483
1630466165.4825473,20162,0.0016438489546999335
1630466520.6873012,20444,0.001751513802446425
1630466875.6591983,20726,0.0015857743564993143
1630467231.429312,21008,0.002152751199901104
1630467585.8571231,21290,0.001567635452374816
1630467949.0517297,21572,0.0016744161257520318
1630468304.908671,21854,0.0018117288127541542
1630468663.0499,22136,0.0015284728724509478
1630469025.8128428,22418,0.0013703401200473309
1630469385.074813,22700,0.0012664149980992079
1630469746.1549568,22982,0.0015989209059625864
1630470106.231764,23264,0.001283510820940137
1630470467.6652455,23546,0.0017659279983490705
1630470828.114821,23828,0.0014331936836242676
1630471190.2388518,24110,0.0016230151522904634
1630471561.6756723,24392,0.0018592518754303455
1630471919.237475,24674,0.0024504370521754026
1630472277.7203243,24956,0.0014914273051545024
1630472635.4540272,25238,0.0023965961299836636
1630472992.2468164,25520,0.0019498609472066164
1630473349.4398408,25802,0.0015970077365636826
1630473707.7827194,26084,0.0016530740540474653
1630474064.7518291,26366,0.001112110447138548
1630474421.0718558,26648,0.0014795198803767562
1630474777.0098903,26930,0.0020355666056275368
1630475143.6233335,27212,0.002227853750810027
1630475499.5221305,27494,0.0016260399715974927
1630475857.3326812,27776,0.002226979471743107
1630476219.02538,28058,0.0019134448375552893
1630476577.121375,28340,0.0018456527031958103
1630476934.2626874,28622,0.001923818956129253
