$x$,$y$,L,Parameters,R,Simulation,t
-3.1790945529937744,3.4852447509765625,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.56
-3.1635172367095947,3.472701072692871,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5700000000000001
-3.1479525566101074,3.460141658782959,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.58
-3.1324005126953125,3.447566509246826,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.59
-3.11686110496521,3.4349758625030518,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.6
-3.1013343334198,3.4223694801330566,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.61
-3.085819721221924,3.4097483158111572,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.62
-3.070317029953003,3.3971123695373535,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.63
-3.054826498031616,3.3844616413116455,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.64
-3.0393481254577637,3.371795892715454,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.65
-3.0238819122314453,3.3591153621673584,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.66
-3.008427858352661,3.3464200496673584,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.67
-2.992985963821411,3.333709955215454,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.68
-2.9775562286376953,3.3209850788116455,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.6900000000000001
-2.9621386528015137,3.3082454204559326,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.7000000000000001
-2.946733236312866,3.2954909801483154,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.71
-2.9313414096832275,3.2827200889587402,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.72
-2.9159631729125977,3.269932985305786,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.73
-2.9005987644195557,3.257129430770874,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.74
-2.8852479457855225,3.244309425354004,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.75
-2.869910717010498,3.231473207473755,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.76
-2.8545870780944824,3.218620538711548,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.77
-2.8392772674560547,3.205751657485962,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.78
-2.8239810466766357,3.192866325378418,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.79
-2.8086986541748047,3.179964780807495,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.8
-2.7934300899505615,3.1670470237731934,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.81
-2.7781753540039062,3.1541130542755127,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.8200000000000001
-2.762934446334839,3.141162633895874,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.8300000000000001
-2.7477073669433594,3.1281960010528564,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.84
