$x$,$y$,Goal region,QP relaxation,Safe region,Unsafe region,V
-2.5,-2.5,0.0,0.0,0.0,1.0,0.2601070702075958
-2.5,-2.4494948387145996,0.0,0.0,0.0,1.0,0.25327056646347046
-2.5,-2.3989899158477783,0.0,0.0,0.0,1.0,0.2464543581008911
-2.5,-2.348484754562378,0.0,0.0,0.0,1.0,0.23968905210494995
-2.5,-2.2979798316955566,0.0,0.0,0.0,1.0,0.23301221430301666
-2.5,-2.2474746704101562,0.0,0.0,0.0,1.0,0.22646766901016235
-2.5,-2.196969747543335,0.0,0.0,0.0,1.0,0.22010359168052673
-2.5,-2.1464645862579346,0.0,0.0,0.0,1.0,0.21397072076797485
-2.5,-2.0959596633911133,0.0,0.0,0.0,1.0,0.2081199735403061
-2.5,-2.045454502105713,0.0,0.0,0.0,1.0,0.2025996744632721
-2.5,-1.9949495792388916,0.0,0.0,0.0,1.0,0.19745337963104248
-2.5,-1.9444445371627808,0.0,0.0,0.0,1.0,0.19271796941757202
-2.5,-1.89393949508667,0.0,0.0,0.0,1.0,0.18842145800590515
-2.5,-1.843434453010559,0.0,0.0,0.0,1.0,0.1845821738243103
-2.5,-1.7929294109344482,0.0,0.0,0.0,1.0,0.18120816349983215
-2.5,-1.7424242496490479,0.0,0.0,0.0,1.0,0.1782972365617752
-2.5,-1.691919207572937,0.0,0.0,0.0,1.0,0.17583802342414856
-2.5,-1.6414141654968262,0.0,0.0,0.0,1.0,0.17381031811237335
-2.5,-1.5909091234207153,0.0,0.0,0.0,1.0,0.17218726873397827
-2.5,-1.5404040813446045,0.0,0.0,0.0,1.0,0.17093706130981445
-2.5,-1.4898990392684937,0.0,0.0,0.0,1.0,0.17002491652965546
-2.5,-1.4393939971923828,0.0,0.0,0.0,1.0,0.16941481828689575
-2.5,-1.3888888359069824,0.0,0.0,0.0,1.0,0.16907167434692383
-2.5,-1.3383839130401611,0.0,0.0,0.0,1.0,0.1689629852771759
-2.5,-1.2878787517547607,0.0,0.0,0.0,1.0,0.16906023025512695
-2.5,-1.23737370967865,0.0,0.0,0.0,1.0,0.1693396270275116
-2.5,-1.186868667602539,0.0,0.0,0.0,1.0,0.16978316009044647
-2.5,-1.1363636255264282,0.0,0.0,0.0,1.0,0.17037871479988098
-2.5,-1.0858585834503174,0.0,0.0,0.0,1.0,0.17111998796463013
-2.5,-1.0353535413742065,0.0,0.0,0.0,1.0,0.1720062792301178
-2.5,-0.9848484396934509,0.0,0.0,0.0,1.0,0.17304232716560364
-2.5,-0.9343433976173401,0.0,0.0,0.0,1.0,0.17423751950263977
-2.5,-0.883838415145874,0.0,0.0,0.0,1.0,0.17560547590255737
